#GeneID	TF_ID
ENSMUSG00000071337	ENSMUSG00000049672
ENSMUSG00000071645	ENSMUSG00000049672
ENSMUSG00000080542	ENSMUSG00000049672
ENSMUSG00000093803	ENSMUSG00000049672
ENSMUSG00000095615	ENSMUSG00000049672
ENSMUSG00000095738	ENSMUSG00000049672
ENSMUSG00000097291	ENSMUSG00000049672
ENSMUSG00000001089	ENSMUSG00000049672
ENSMUSG00000001127	ENSMUSG00000049672
ENSMUSG00000001366	ENSMUSG00000049672
ENSMUSG00000001785	ENSMUSG00000049672
ENSMUSG00000002455	ENSMUSG00000049672
ENSMUSG00000002845	ENSMUSG00000049672
ENSMUSG00000003809	ENSMUSG00000049672
ENSMUSG00000003848	ENSMUSG00000049672
ENSMUSG00000004610	ENSMUSG00000049672
ENSMUSG00000005575	ENSMUSG00000049672
ENSMUSG00000006463	ENSMUSG00000049672
ENSMUSG00000007892	ENSMUSG00000049672
ENSMUSG00000008668	ENSMUSG00000049672
ENSMUSG00000008690	ENSMUSG00000049672
ENSMUSG00000012123	ENSMUSG00000049672
ENSMUSG00000013646	ENSMUSG00000049672
ENSMUSG00000016344	ENSMUSG00000049672
ENSMUSG00000016984	ENSMUSG00000049672
ENSMUSG00000018347	ENSMUSG00000049672
ENSMUSG00000020109	ENSMUSG00000049672
ENSMUSG00000020163	ENSMUSG00000049672
ENSMUSG00000020514	ENSMUSG00000049672
ENSMUSG00000020585	ENSMUSG00000049672
ENSMUSG00000020664	ENSMUSG00000049672
ENSMUSG00000020697	ENSMUSG00000049672
ENSMUSG00000020873	ENSMUSG00000049672
ENSMUSG00000021302	ENSMUSG00000049672
ENSMUSG00000021733	ENSMUSG00000049672
ENSMUSG00000021987	ENSMUSG00000049672
ENSMUSG00000022195	ENSMUSG00000049672
ENSMUSG00000022360	ENSMUSG00000049672
ENSMUSG00000022476	ENSMUSG00000049672
ENSMUSG00000022620	ENSMUSG00000049672
ENSMUSG00000022664	ENSMUSG00000049672
ENSMUSG00000022820	ENSMUSG00000049672
ENSMUSG00000024382	ENSMUSG00000049672
ENSMUSG00000024487	ENSMUSG00000049672
ENSMUSG00000024604	ENSMUSG00000049672
ENSMUSG00000025591	ENSMUSG00000049672
ENSMUSG00000025962	ENSMUSG00000049672
ENSMUSG00000026429	ENSMUSG00000049672
ENSMUSG00000026502	ENSMUSG00000049672
ENSMUSG00000026526	ENSMUSG00000049672
ENSMUSG00000028126	ENSMUSG00000049672
ENSMUSG00000028394	ENSMUSG00000049672
ENSMUSG00000028447	ENSMUSG00000049672
ENSMUSG00000028684	ENSMUSG00000049672
ENSMUSG00000028689	ENSMUSG00000049672
ENSMUSG00000028693	ENSMUSG00000049672
ENSMUSG00000029119	ENSMUSG00000049672
ENSMUSG00000029345	ENSMUSG00000049672
ENSMUSG00000029438	ENSMUSG00000049672
ENSMUSG00000030034	ENSMUSG00000049672
ENSMUSG00000030400	ENSMUSG00000049672
ENSMUSG00000030528	ENSMUSG00000049672
ENSMUSG00000030815	ENSMUSG00000049672
ENSMUSG00000032437	ENSMUSG00000049672
ENSMUSG00000032578	ENSMUSG00000049672
ENSMUSG00000033955	ENSMUSG00000049672
ENSMUSG00000037808	ENSMUSG00000049672
ENSMUSG00000038683	ENSMUSG00000049672
ENSMUSG00000039826	ENSMUSG00000049672
ENSMUSG00000040511	ENSMUSG00000049672
ENSMUSG00000041773	ENSMUSG00000049672
ENSMUSG00000041911	ENSMUSG00000049672
ENSMUSG00000042271	ENSMUSG00000049672
ENSMUSG00000043131	ENSMUSG00000049672
ENSMUSG00000044864	ENSMUSG00000049672
ENSMUSG00000046591	ENSMUSG00000049672
ENSMUSG00000049823	ENSMUSG00000049672
ENSMUSG00000050945	ENSMUSG00000049672
ENSMUSG00000051786	ENSMUSG00000049672
ENSMUSG00000052299	ENSMUSG00000049672
ENSMUSG00000053390	ENSMUSG00000049672
ENSMUSG00000053600	ENSMUSG00000049672
ENSMUSG00000055553	ENSMUSG00000049672
ENSMUSG00000056215	ENSMUSG00000049672
ENSMUSG00000056666	ENSMUSG00000049672
ENSMUSG00000062867	ENSMUSG00000049672
ENSMUSG00000064215	ENSMUSG00000049672
ENSMUSG00000064796	ENSMUSG00000049672
ENSMUSG00000068854	ENSMUSG00000049672
ENSMUSG00000071037	ENSMUSG00000049672
ENSMUSG00000071757	ENSMUSG00000049672
ENSMUSG00000079435	ENSMUSG00000049672
ENSMUSG00000079478	ENSMUSG00000049672
ENSMUSG00000080538	ENSMUSG00000049672
ENSMUSG00000080999	ENSMUSG00000049672
ENSMUSG00000087163	ENSMUSG00000049672
ENSMUSG00000092341	ENSMUSG00000049672
ENSMUSG00000095214	ENSMUSG00000049672
ENSMUSG00000021023	ENSMUSG00000049672
ENSMUSG00000021022	ENSMUSG00000049672
ENSMUSG00000024908	ENSMUSG00000049672
ENSMUSG00000001366	ENSMUSG00000049672
ENSMUSG00000035578	ENSMUSG00000049672
ENSMUSG00000042569	ENSMUSG00000049672
ENSMUSG00000000811	ENSMUSG00000049672
ENSMUSG00000002325	ENSMUSG00000049672
ENSMUSG00000002660	ENSMUSG00000049672
ENSMUSG00000002741	ENSMUSG00000049672
ENSMUSG00000002870	ENSMUSG00000049672
ENSMUSG00000002957	ENSMUSG00000049672
ENSMUSG00000003200	ENSMUSG00000049672
ENSMUSG00000003423	ENSMUSG00000049672
ENSMUSG00000003680	ENSMUSG00000049672
ENSMUSG00000003873	ENSMUSG00000049672
ENSMUSG00000004070	ENSMUSG00000049672
ENSMUSG00000004462	ENSMUSG00000049672
ENSMUSG00000005054	ENSMUSG00000049672
ENSMUSG00000005566	ENSMUSG00000049672
ENSMUSG00000005907	ENSMUSG00000049672
ENSMUSG00000007603	ENSMUSG00000049672
ENSMUSG00000007721	ENSMUSG00000049672
ENSMUSG00000007815	ENSMUSG00000049672
ENSMUSG00000007833	ENSMUSG00000049672
ENSMUSG00000008226	ENSMUSG00000049672
ENSMUSG00000010453	ENSMUSG00000049672
ENSMUSG00000013833	ENSMUSG00000049672
ENSMUSG00000014907	ENSMUSG00000049672
ENSMUSG00000015126	ENSMUSG00000049672
ENSMUSG00000015337	ENSMUSG00000049672
ENSMUSG00000015671	ENSMUSG00000049672
ENSMUSG00000017697	ENSMUSG00000049672
ENSMUSG00000018565	ENSMUSG00000049672
ENSMUSG00000018965	ENSMUSG00000049672
ENSMUSG00000019362	ENSMUSG00000049672
ENSMUSG00000020074	ENSMUSG00000049672
ENSMUSG00000020283	ENSMUSG00000049672
ENSMUSG00000020375	ENSMUSG00000049672
ENSMUSG00000020496	ENSMUSG00000049672
ENSMUSG00000020593	ENSMUSG00000049672
ENSMUSG00000020973	ENSMUSG00000049672
ENSMUSG00000021018	ENSMUSG00000049672
ENSMUSG00000021022	ENSMUSG00000049672
ENSMUSG00000021023	ENSMUSG00000049672
ENSMUSG00000021368	ENSMUSG00000049672
ENSMUSG00000021428	ENSMUSG00000049672
ENSMUSG00000021461	ENSMUSG00000049672
ENSMUSG00000021614	ENSMUSG00000049672
ENSMUSG00000021690	ENSMUSG00000049672
ENSMUSG00000022174	ENSMUSG00000049672
ENSMUSG00000022241	ENSMUSG00000049672
ENSMUSG00000022295	ENSMUSG00000049672
ENSMUSG00000022300	ENSMUSG00000049672
ENSMUSG00000022370	ENSMUSG00000049672
ENSMUSG00000022637	ENSMUSG00000049672
ENSMUSG00000022671	ENSMUSG00000049672
ENSMUSG00000022898	ENSMUSG00000049672
ENSMUSG00000023050	ENSMUSG00000049672
ENSMUSG00000023755	ENSMUSG00000049672
ENSMUSG00000023923	ENSMUSG00000049672
ENSMUSG00000023932	ENSMUSG00000049672
ENSMUSG00000023939	ENSMUSG00000049672
ENSMUSG00000024012	ENSMUSG00000049672
ENSMUSG00000024096	ENSMUSG00000049672
ENSMUSG00000024174	ENSMUSG00000049672
ENSMUSG00000024277	ENSMUSG00000049672
ENSMUSG00000025102	ENSMUSG00000049672
ENSMUSG00000025226	ENSMUSG00000049672
ENSMUSG00000025403	ENSMUSG00000049672
ENSMUSG00000025531	ENSMUSG00000049672
ENSMUSG00000025577	ENSMUSG00000049672
ENSMUSG00000025781	ENSMUSG00000049672
ENSMUSG00000025986	ENSMUSG00000049672
ENSMUSG00000025995	ENSMUSG00000049672
ENSMUSG00000026095	ENSMUSG00000049672
ENSMUSG00000026154	ENSMUSG00000049672
ENSMUSG00000026254	ENSMUSG00000049672
ENSMUSG00000026311	ENSMUSG00000049672
ENSMUSG00000026353	ENSMUSG00000049672
ENSMUSG00000026554	ENSMUSG00000049672
ENSMUSG00000026618	ENSMUSG00000049672
ENSMUSG00000026634	ENSMUSG00000049672
ENSMUSG00000026917	ENSMUSG00000049672
ENSMUSG00000027387	ENSMUSG00000049672
ENSMUSG00000027509	ENSMUSG00000049672
ENSMUSG00000027722	ENSMUSG00000049672
ENSMUSG00000027810	ENSMUSG00000049672
ENSMUSG00000028182	ENSMUSG00000049672
ENSMUSG00000028397	ENSMUSG00000049672
ENSMUSG00000028423	ENSMUSG00000049672
ENSMUSG00000028550	ENSMUSG00000049672
ENSMUSG00000028551	ENSMUSG00000049672
ENSMUSG00000028964	ENSMUSG00000049672
ENSMUSG00000028982	ENSMUSG00000049672
ENSMUSG00000028998	ENSMUSG00000049672
ENSMUSG00000029131	ENSMUSG00000049672
ENSMUSG00000029213	ENSMUSG00000049672
ENSMUSG00000029265	ENSMUSG00000049672
ENSMUSG00000029326	ENSMUSG00000049672
ENSMUSG00000029464	ENSMUSG00000049672
ENSMUSG00000029602	ENSMUSG00000049672
ENSMUSG00000029726	ENSMUSG00000049672
ENSMUSG00000029776	ENSMUSG00000049672
ENSMUSG00000029918	ENSMUSG00000049672
ENSMUSG00000030660	ENSMUSG00000049672
ENSMUSG00000030725	ENSMUSG00000049672
ENSMUSG00000031023	ENSMUSG00000049672
ENSMUSG00000031101	ENSMUSG00000049672
