Protein	Ratio_0	Ratio_2	Ratio_6	Ratio_12	Ratio_18	Ratio_24
Cmtm7	-0.645364	-0.740201	-1.024507	0.581162	0.815839	-0.590426
Cnbp	-1.337063	-1.156455	1.113210	-0.331419	-2.421639	-1.147971
Cndp2	0.109154	2.066972	-0.384340	-2.811010	-2.755378	-0.005408
Cnih4	0.984932	2.342433	-0.156053	1.815210	0.064510	-1.340160
Cnn3	-1.610106	0.372264	-0.304131	-1.788309	-3.007298	-1.754293
Cnot1	-0.864559	1.435028	-0.519559	1.204351	-4.006036	-1.989793
Cnot10	0.984932	-0.159346	3.385665	-3.363473	-3.111556	-1.147971
Cnot11	4.266916	-0.020031	1.113210	-2.788657	1.193358	-1.147971
Cnot2	-0.437194	1.221580	1.113210	0.672080	-1.254434	-1.147971
Cnp	-1.712278	1.221580	1.113210	-4.483112	3.806246	-1.147971
Cnpy2	-0.363380	-0.580415	-0.689420	-1.050227	1.054418	-1.934615
Coa3	-1.765183	7.080657	-5.951763	-4.188435	0.590579	-1.147971
Commd3	0.984932	3.102047	0.433943	0.672080	0.064510	0.497859
Commd9	0.984932	1.839234	-3.275736	0.672080	0.064510	-0.242606
Comtd1	3.858693	-2.205475	1.113210	-2.685710	-0.328052	-1.147971
Copa	-2.291887	1.203990	-0.482796	0.453491	0.948049	-0.203120
Copb1	-0.047734	1.136376	-0.645873	2.336692	-2.759262	0.312159
Copb2	1.213066	0.559732	-0.502882	-0.885316	-0.732028	-0.323385
Cope	0.666651	0.116741	-0.264385	-2.525601	-1.907136	-0.566589
Copg1	-1.188638	1.040089	-0.599287	-0.091765	-2.075050	-0.492147
Cops2	0.984932	3.301287	-1.065992	2.763630	0.064510	2.461753
Cops3	1.191016	0.925804	-0.961266	-1.406807	0.194737	-2.455524
Cops4	0.972301	-0.154004	-0.361058	-0.066465	-3.059604	-0.457812
Cops5	-0.966124	1.554907	1.113210	0.672080	0.178457	-0.399517
Cops6	0.984932	3.383987	-0.526592	-1.772503	-2.177659	-1.147971
Cops7b	5.528217	-3.674741	0.467958	6.099484	6.773138	-5.198166
Cops8	0.984932	3.375106	-3.635304	3.711254	0.064510	-1.147971
Copz1	5.805122	1.177722	-0.547173	-2.058680	0.064510	-1.386048
Coq9	-2.676337	2.512584	-0.834212	-1.786686	-1.338946	-0.237158
Coro1a	-0.553375	0.715584	-0.269656	-0.973374	0.547339	-0.375149
Coro1b	-0.465500	-0.258244	0.069318	-0.307531	-1.732086	-1.406232
Coro1c	1.475422	2.095862	-0.790064	-2.563909	2.139420	0.196946
Coro7	-0.999871	1.273458	0.043981	-3.400146	0.047928	-0.458867
Cotl1	0.823400	-0.037687	0.438763	-2.494021	0.628502	-1.494867
Cox15	0.984932	1.798493	-2.297472	0.672080	0.064510	-0.859877
Cox17	-1.245671	4.437199	1.113210	-1.297953	-0.914152	-1.147971
Cox20	0.784010	1.422105	1.113210	-5.466308	1.287241	-1.147971
Cox4i1	-0.606177	0.379117	-0.291274	0.587075	-0.906111	-0.770233
Cox5a	-0.265917	1.001028	-0.502760	0.628539	-1.387965	-0.514737
Cox5b	-0.708806	0.594064	1.749893	-1.417312	-0.636899	-1.399273
Cox6a1	0.984932	0.428370	-0.090896	6.402569	0.064510	-0.420178
Cox6b1	-0.685585	-2.635460	-0.695744	-1.981120	-1.573512	-0.701650
Cox6c	0.206324	1.426071	-0.541289	-0.286886	-0.355084	-0.396437
Cox7a2	-1.426306	0.745482	0.471003	-0.824551	-0.233137	-0.369540
Cox7c	-2.121432	1.221580	1.113210	-2.732555	1.529834	-1.147971
Cpne1	-0.211022	1.537411	-1.568718	5.077968	-2.024357	-0.755225
Cpne3	0.984932	0.693298	-0.877345	-1.484919	0.025562	1.139678
Cpsf1	-1.146972	0.213900	-0.320246	0.672080	0.064510	-2.110381
Cpsf2	0.984932	1.221580	-2.957040	-3.114609	0.064510	-1.117122
Cpsf3	0.984932	0.713408	-3.156312	-2.492598	2.490141	1.410083
Cpsf6	-0.128541	-0.164193	0.871252	-2.383425	2.588530	-1.555537
Cpsf7	0.984932	4.057562	1.113210	0.672080	0.607091	-4.402286
Cpt1a	-0.989841	0.688609	-2.294513	-2.023245	-1.596484	2.064143
Cr1l	-3.085052	1.848852	0.466182	0.604153	-1.889362	1.717742
Creld2	-2.366531	1.221580	1.113210	-2.347499	0.694029	-1.147971
Crip1	-3.645374	6.818640	0.387904	3.623453	2.192585	-0.214628
Crk	0.984932	2.471964	0.040173	0.672080	0.064510	-0.905960
Crlf3	1.083059	5.151486	-5.931002	-4.088466	0.863216	-1.147971
Crnkl1	-1.991982	-3.432218	1.113210	-1.926048	-0.616291	-1.147971
Cs	-0.500472	0.994733	-0.327521	-0.203021	-0.714294	-0.816224
Csde1	-1.261518	1.055580	0.120782	-3.193959	-0.918725	0.342848
Cse1l	-1.680255	-1.960682	0.932194	2.082930	-2.279145	0.095958
Csk	-0.022219	0.830883	-0.507446	0.897303	-1.888745	-0.786173
Csnk1a1	0.294420	0.297466	1.113210	-4.108070	-0.375408	-1.147971
Csnk2a1	-2.258012	1.897533	-0.477600	6.894379	0.064510	-0.829352
Csnk2b	-3.500027	2.100220	0.038588	4.881861	-3.859625	3.478818
Csrp1	-0.781616	1.812881	-1.242545	1.287821	-1.363111	-1.181956
Cstf2	-0.756549	0.748156	0.071330	-2.322358	-0.763445	-1.538894
Cstf3	-0.273839	1.535074	1.173310	-1.043662	0.947656	-1.242206
Ctcf	5.024400	4.837944	-0.648262	0.548119	-1.808573	-5.529851
Ctdspl2	-1.079303	1.001715	1.113210	0.672080	-0.665657	-1.147971
Cth	0.984932	1.606646	0.449780	3.281481	-5.126771	-0.211157
Ctnnbl1	-0.213614	0.099713	-0.932559	-1.924724	-4.400073	0.367428
Ctps1	-2.981044	0.022381	-2.338067	-4.100640	-3.312859	-2.196289
Ctr9	3.711386	1.596774	-1.536257	0.672080	0.471266	-1.147971
Ctsb	0.984932	3.609658	1.113210	-2.795294	0.064510	-1.147971
Ctsc	-0.513836	5.107542	3.608670	-2.749621	-1.467357	-4.537669
Ctsd	0.879560	1.038360	2.807753	-4.061476	-0.307420	-1.147971
Ctu2	0.984932	-0.255559	-1.033363	-2.374473	0.064510	-0.343515
Cul1	0.984932	2.090900	-1.290084	0.672080	0.064510	-1.147971
Cul3	-4.518990	1.221580	1.113210	-4.470399	1.714029	-1.147971
Cul5	0.984932	-0.660946	2.177531	-3.713663	-3.319302	0.489042
Cux1	-5.179099	4.302301	1.113210	-1.605898	0.363309	-1.110328
Cwc15	0.347103	2.669630	0.419930	-0.529949	1.106686	1.957692
Cwc22	0.008189	5.492922	1.113210	0.672080	-1.767184	-1.147971
Cwf19l2	0.984932	1.221580	1.113210	-1.610874	-2.531021	-1.147971
Cyb5a	-2.165560	-1.068683	-0.159172	2.152187	-1.664900	-1.152845
Cyb5b	-1.263434	0.488172	-0.578534	0.356526	-1.174956	-1.294903
Cyb5r3	0.639356	1.431446	0.714398	1.410057	1.473994	1.049910
Cyc1	-1.293995	1.167882	-0.542755	7.259172	0.064510	-0.191552
Cycs	-1.549321	1.717988	-0.401996	0.069640	-1.183188	-0.692378
Cyfip2	-0.518742	0.183812	-0.332910	-0.269444	0.359968	-1.041141
Cyp20a1	-1.303393	1.221580	1.113210	0.672080	-1.408173	-1.112470
Cyp51a1	0.680691	0.401970	0.752278	-2.044832	0.869346	1.318555
D10Jhu81e	-0.201713	1.721648	-2.616034	0.850344	1.241921	-2.251037
D10Wsu52e	-0.842075	0.905727	-0.785212	-0.350292	-0.553606	0.034464
D2Wsu81e	1.715275	1.221580	1.113210	0.672080	0.790182	-1.147971
Dad1	-0.887023	1.717793	0.685800	-1.286700	-0.973426	3.589241
Dap3	2.476315	3.134608	0.024399	3.366712	0.064510	-0.335950
Dars	-0.954047	1.865817	-0.695355	0.017376	-2.564673	0.362980
Dazap1	-0.125325	-0.790544	-0.025450	-1.126335	0.202806	-0.353139
Dbi	0.562548	0.609207	0.220113	6.913301	3.485384	-3.200853
Dbnl	-0.385222	1.083932	-0.645626	-1.829431	0.286614	-0.361821
Dbt	0.984932	2.850823	-1.013785	0.672080	-3.395378	1.213835
Dcakd	0.984932	3.062550	1.113210	0.672080	0.064510	-1.040746
Dcps	0.419822	0.946594	-0.654046	-0.605144	-0.045323	-1.605911
Dctn1	0.710211	-3.128585	1.113210	-3.027290	-3.183448	-1.147971
Dctn2	0.984932	4.962595	-0.792694	1.829469	0.064510	-1.284900
Dctpp1	0.984932	1.221580	10.507751	10.147018	-1.483612	-1.147971
Dcun1d1	0.984932	4.182296	-0.210615	2.068024	0.064510	-0.039078
Dcun1d5	3.282451	1.221580	1.113210	-3.291964	-1.042153	-1.147971
Dda1	0.984932	2.980901	-2.572751	-2.821362	0.064510	-1.147971
Ddb1	-2.432972	0.124799	-0.850398	4.167179	-3.583848	-1.218944
Ddi2	2.420714	1.221580	1.113210	-3.369947	-1.583923	-1.147971
Ddost	0.448932	0.574272	-0.457222	0.266470	-0.694991	-0.395364
Ddt	0.310387	5.111238	-3.108434	0.672080	-3.778691	-1.147971
Ddx1	-1.403957	1.672851	-0.524909	-0.425089	-3.593094	-0.490321
Ddx10	0.984932	2.520793	1.113210	0.672080	-1.223198	-1.147971
Ddx17	0.260087	0.844069	-0.404477	-0.341375	-1.591832	-1.150994
Ddx18	-0.396569	-0.310973	0.281636	-1.763953	-2.715737	-1.806205
Ddx19a	-0.276688	0.916690	-0.255609	-1.448184	-0.882198	0.322630
Ddx20	-1.181867	0.830655	-0.387982	-1.889750	-3.498519	-2.012894
Ddx21	-0.445087	1.007446	-0.284241	-0.296288	-1.175279	-0.969091
Ddx24	-2.081933	0.434490	1.113210	-1.628957	-1.468748	-1.147971
Ddx27	-1.604874	1.264171	-0.880956	-1.058700	-2.911536	-2.692221
Ddx39a	-0.157800	3.311153	-0.264538	1.892082	-4.306066	0.115799
Ddx39b	-1.044039	1.052861	-0.393548	0.387041	-2.153167	-0.819437
Ddx3x	-0.232689	1.013974	-0.397240	0.038760	-0.559424	-1.072769
Ddx3y	0.984932	-0.516739	1.430176	1.972978	3.046250	-1.147971
Ddx4	-0.458496	1.221580	1.113210	-3.805601	-0.303825	-1.147971
Ddx42	0.006219	4.110708	0.631824	-2.324972	-0.797059	4.540249
Ddx46	-0.521649	1.763218	0.309431	-0.240742	-0.995049	0.103706
Ddx47	-1.159144	0.520401	-0.942756	3.843980	-1.827176	-1.185301
Ddx49	-0.452313	3.520521	1.113210	-2.353509	-1.842526	-3.005271
Ddx5	-0.296087	1.314130	-0.321625	1.442661	-0.734835	-1.097595
Ddx51	-0.599768	1.221580	1.113210	-4.748109	-1.636165	-1.147971
Ddx54	0.787966	0.004424	-1.870052	-2.923460	-0.727689	-1.505850
Ddx56	-0.806913	0.208129	-2.645014	-2.405773	0.252854	0.862999
Ddx6	-1.119676	1.084142	-0.022577	-0.619245	-1.842922	-0.484561
Decr1	-0.377380	0.294688	-0.653041	4.896180	-1.624337	-0.033102
Dek	-0.721648	1.257694	-0.018180	2.343288	-0.826491	-0.636842
Denr	4.162739	3.896866	1.113210	-1.878179	0.064510	-1.147971
Det1	-0.077404	1.221580	1.113210	0.672080	-1.253386	-1.147971
Dhcr7	-1.309166	-1.235581	-1.318122	-2.962814	-2.038077	3.374654
Dhfr	-0.754707	0.811821	-0.375625	-0.354113	-2.138792	-0.532078
Dhrs1	-0.731208	0.370777	-0.713684	-6.120988	0.884599	-1.147971
Dhrs4	-0.951777	-0.089729	-2.321853	-2.828288	-2.540104	-1.876807
Dhx15	-0.609173	0.583571	-0.349789	-0.129231	-2.384123	-0.846388
Dhx29	1.048455	0.197471	-0.839805	-5.020344	2.007216	-2.009960
Dhx9	-0.472449	0.867076	-0.337084	0.214909	-0.876326	-0.418772
Diexf	3.314264	1.221580	1.113210	-1.658672	0.064510	-1.147971
Dip2b	-0.165956	1.221580	1.113210	-2.615736	-2.339610	-1.147971
Dkc1	-0.631939	0.598209	-0.464586	-0.780750	-1.562606	-1.176391
Dlat	-0.944250	0.693082	-0.321156	0.621496	-3.331192	-0.847804
Dld	0.628836	1.993343	-0.819648	1.138340	1.670965	-0.471984
Dlst	-2.150807	0.508740	-0.865388	0.195477	-0.134104	-0.328725
Dmd	0.984932	1.863268	-1.395570	0.672080	0.064510	1.199199
Dmxl1	0.984932	1.221580	-6.257162	0.672080	0.891649	-1.147971
Dnahc8	0.787012	-2.588174	1.113210	6.456752	3.833363	4.495666
Dnaja1	1.721376	1.976510	-0.538403	3.952707	2.904966	-1.259357
Dnaja2	-0.693710	1.012844	-0.838517	-5.095946	-1.009575	-0.072054
Dnaja3	-1.443520	0.667700	-0.368345	3.873672	0.064510	-1.802070
Dnajb1	4.908845	3.332378	-2.898010	1.948918	0.064510	1.774258
Dnajb11	0.060779	1.456628	-1.758047	4.884436	1.049784	-0.918807
Dnajb6	0.271920	5.524373	1.113210	-4.169474	0.143741	-1.147971
Dnajc11	0.984932	-0.155627	-1.458844	0.672080	0.064510	-0.707242
Dnajc17	0.984932	-1.122582	-1.310832	0.672080	0.064510	-0.692809
Dnajc2	-1.090578	1.827743	-0.287488	-4.204160	-0.681242	-0.670622
Dnajc5	1.417203	1.221580	1.113210	-3.219100	-0.223126	-1.147971
Dnajc7	-0.287400	1.713083	0.872087	-1.436186	0.964431	-0.355461
Dnajc8	0.193394	4.293156	-0.108613	-3.619810	-2.676584	-2.113590
Dnajc9	-0.476244	0.710843	0.487545	0.472088	-0.100047	-0.543739
Dnm1l	0.276433	-0.097026	-0.494502	-1.211992	-0.874251	-2.253193
Dnm2	2.309309	0.088602	-1.713828	0.971336	0.064510	-0.240222
Dnmt1	-0.691837	0.994422	-0.305587	-0.672200	-0.979992	-0.773790
Dnmt3a	3.373964	0.568501	-1.054415	-4.216655	-0.527195	-1.439250
Dnpep	0.984932	1.221580	1.113210	-3.426908	1.387818	-0.827248
Dnttip2	-1.081820	1.229222	-0.920040	3.520012	-2.418339	-1.709450
Dock10	-1.525738	1.042321	-1.503940	-3.123338	-1.978864	-1.548497
Dock11	0.894430	0.940852	4.648055	-3.257042	-1.272639	-0.831665
Dock2	-1.104058	0.675272	0.278074	0.130278	2.170025	1.183819
Dock8	-0.312232	-1.365196	-0.246396	-0.270087	1.980735	1.036758
Dock9	-3.997144	1.221580	1.113210	2.527271	-2.564927	-1.147971
Dok2	2.391140	1.221580	1.113210	-3.327585	-1.712453	-1.147971
Dpcd	0.984932	1.221580	-3.406386	0.672080	0.064510	-3.376358
Dpf2	0.984932	-0.388238	0.342178	0.750630	-1.557154	-1.434762
Dph1	-0.188226	1.221580	1.113210	-0.849509	1.155182	-1.147971
Dph5	0.984932	-1.332327	-0.545861	0.672080	0.064510	-1.147971
Dpm1	0.984932	4.991029	1.113210	4.762668	0.064510	0.326918
Dpm3	-0.386109	3.826541	1.113210	-4.098204	-3.533741	-1.147971
Dpp3	-1.131969	-0.628926	-0.551091	3.141398	0.064510	-1.147971
Dpp4	-0.722683	-0.081946	0.128804	-0.575081	-1.561013	-0.583562
Dpp9	0.984932	1.221580	1.867958	0.672080	0.064510	0.502297
Dpy30	0.170513	-1.887763	-0.635766	-3.078962	-0.622299	-2.088098
Dpysl2	0.027260	-0.078747	-0.232119	1.131783	0.732573	0.337346
Dr1	0.984932	1.278039	0.104562	2.833612	0.064510	1.993096
Drap1	0.984932	0.944116	-0.047964	0.672080	-3.007731	-0.613490
Drg1	-1.178552	1.060460	-0.652593	-2.398931	0.315830	-1.644068
Drg2	2.877774	1.622833	0.563035	0.672080	0.064510	-0.326040
Dstn	0.075402	0.867863	-0.044025	-1.096988	0.167881	0.109879
Dtd1	3.914215	1.221580	1.113210	-3.254061	3.301268	-1.147971
Dtl	0.984932	1.221580	2.169908	-3.280930	0.064510	-1.147971
Dus3l	0.984932	1.235232	-0.642100	0.672080	0.064510	-0.971596
Dync1h1	-0.338701	2.298345	-0.996060	1.081669	-1.386197	-0.060542
Dync1i2	4.390134	-2.900017	1.113210	-2.758171	-0.531819	-1.565479
Dync1li1	3.778219	-0.040216	-0.562198	-3.381187	2.134550	0.449956
Dync1li2	0.065452	2.002900	1.113210	-2.060548	2.154497	-1.147971
Dynll1	1.084815	2.292266	-0.368566	-1.174329	3.019038	5.216378
Dynll2	15.817406	10.012013	1.113210	0.672080	1.763954	-1.147971
Dynlrb1	-0.046968	2.242399	-0.575107	3.080515	-4.252572	2.281822
Dynlt1	0.984932	0.858245	-0.686172	-1.715724	0.064510	-0.654091
Ebf1	-1.510386	1.095195	-1.536432	-1.022512	-1.953673	0.457402
Ebna1bp2	-1.284561	1.100108	-0.382863	-0.655688	-3.838274	-1.008445
Ebp	-1.046306	1.657762	-0.233939	-1.253646	-4.432285	-0.046804
Ech1	-1.024863	1.065534	-0.869143	4.825116	-2.731000	-0.899278
Echs1	-0.671292	1.412622	-0.198749	-1.026928	-2.050410	0.067849
Ecm29	0.928796	0.966056	-0.937388	1.111335	0.396917	-0.329144
Edc4	-0.157746	1.735116	-1.714058	-1.449618	-0.430546	1.097768
Edf1	0.984932	-0.919822	0.868030	4.994108	-0.190155	-0.790553
Eed	2.014702	1.629567	3.783046	-4.254087	-0.302781	-1.147971
Eef1a1	-0.163913	0.428043	0.040525	-0.045680	-0.634229	-1.263967
Eef1b	0.010929	2.769675	-0.149019	2.012735	-1.601465	-2.203215
Eef1d	0.084031	0.780081	-0.373536	-0.156732	-0.081160	-1.689696
Eef1e1	5.484992	2.762224	0.696995	-4.035408	0.362908	-3.923684
Eef1g	-0.316512	1.285753	-0.271003	1.999905	-0.956390	-1.623374
Eef2	-0.134465	0.792462	-0.201153	-0.342027	-0.940018	-1.549615
Eef2k	0.984932	-6.807597	-2.314140	0.672080	0.064510	0.865575
Eefsec	-3.961263	1.221580	1.113210	-2.402461	0.507824	-1.147971
Efhd2	0.724026	1.221580	1.113210	-3.845398	-0.835212	-1.147971
Eftud2	-0.070946	1.337632	-0.502495	2.700417	0.085685	-0.437493
Ehbp1l1	2.660943	1.221580	1.113210	0.672080	0.064510	0.154148
Ehd2	-1.897392	0.272110	0.141765	0.672080	0.064510	-1.469667
Ehd4	-2.426154	5.059782	-0.614032	3.282341	0.064510	-2.781762
Ehmt1	0.573354	3.695956	1.113210	-4.172542	2.969866	-1.147971
Eif1	0.200766	2.820249	-1.817643	3.492043	-2.166200	-2.198052
Eif1ax	-1.546496	0.810713	-0.008870	-2.259169	-1.235694	-1.175839
Eif1b	0.984932	1.757250	-0.130567	0.672080	0.064510	-0.684636
Eif2a	-0.556455	1.730554	-0.573792	-1.953257	0.404990	-0.478542
Eif2b1	-1.509799	-0.183293	0.230336	0.737441	-2.791714	-1.584867
Eif2b2	0.984932	1.221580	-2.332393	0.672080	0.064510	-1.147971
Eif2b4	-2.215733	3.548410	-1.390706	-1.904064	-1.963812	-3.061693
Eif2s1	-0.434579	1.042946	-0.326298	-1.512141	-0.627592	-2.070184
Eif2s2	-1.085438	1.210319	0.445871	-0.558005	-0.189078	-1.758033
Eif2s3x	-0.847226	1.372518	-0.117792	0.661115	-0.657001	-0.869395
Eif3a	0.323806	3.142274	-0.293071	2.042468	-0.588180	-1.547974
Eif3b	-0.865898	1.299100	-0.246616	-0.741843	-0.621527	-0.809092
Eif3c	0.272482	1.596799	-0.397643	0.295474	-0.925504	-0.514660
Eif3d	0.394484	0.212684	-0.570599	1.638659	-2.648955	-0.603880
Eif3e	-1.688193	1.403390	-0.110840	-1.433630	-2.844267	-2.156345
Eif3f	0.894492	0.040399	0.078951	3.221611	-0.086645	-2.054038
Eif3g	0.255563	-0.126686	1.466692	-1.776411	-0.010034	-1.403238
Eif3h	-0.900458	1.730316	-0.242495	-2.477592	-0.575082	-0.991787
Eif3i	-0.846852	2.582262	-0.980495	-0.600770	-0.326533	-0.493743
Eif3j1	-0.330519	1.441996	0.064139	-2.695954	-3.300192	-4.563436
Eif3k	0.386814	1.900178	0.415682	-0.500264	-4.593985	-0.791578
Eif3l	-0.776959	1.708032	-0.126540	0.164065	-0.121510	-1.064476
Eif3m	0.140177	0.238668	-1.140380	2.049516	-5.658501	0.312051
Eif4a1	-0.857828	0.680326	-0.139251	1.076691	-1.052157	-1.196808
Eif4a3	-0.106552	1.129594	-0.163845	0.227868	0.408280	-0.934650
Eif4b	0.148105	2.312933	-0.665279	-0.302593	0.896893	0.021858
Eif4e	-2.289090	-1.488045	-0.579912	5.370690	-0.518008	-2.098644
Eif4ebp2	1.237701	1.495366	-0.345741	2.127060	2.998505	-3.029128
Eif4g1	-2.181219	0.800165	-0.455014	-1.009288	-0.816581	-1.589961
Eif4g2	0.131466	-0.327430	-0.451895	-0.586134	-0.526805	0.584398
Eif4h	0.179537	1.776317	-0.655008	-1.002766	-1.907213	-2.592188
Eif5	0.272424	0.642125	-0.304421	4.040585	-0.574059	-1.588849
Eif5a	-0.578839	1.120073	-0.668192	0.190500	-0.633057	-1.031435
Eif5b	-1.002766	0.669596	-0.975896	-3.125361	-0.054236	-1.681157
Eif6	-1.929295	-0.022219	-0.803770	-0.245431	-1.938854	-0.898087
Elac2	3.067482	-7.419153	-0.172576	-1.563533	-4.476101	-1.147971
Elavl1	-0.775260	1.109482	-0.336826	0.208534	-1.768155	-0.627018
Elf1	0.984932	1.221580	4.241282	0.672080	1.118125	-1.973379
Elmo1	0.782018	0.018292	-0.232128	1.652152	4.961456	-0.418246
Elovl1	-0.055293	0.753849	-1.462535	5.041802	-2.865957	-2.733413
Elovl5	0.984932	1.024915	-0.333675	3.290143	0.064510	-0.703517
Elp2	4.949746	4.339923	1.113210	-4.490240	0.214398	-1.147971
Elp3	0.984932	0.706521	-0.875992	0.672080	0.064510	-0.656907
Emc1	0.984932	4.411658	1.688122	0.672080	-2.123452	0.036175
Emc2	-0.450011	1.592434	-1.173065	-1.232133	-0.288652	0.235432
Emc4	-1.652328	-1.611038	2.710047	3.174264	-1.103426	1.193857
Emc8	0.571339	-0.904661	0.831295	-3.822387	-1.982553	-1.502277
Emd	-1.413100	0.697919	-1.055079	-1.135226	-0.506965	0.198960
Emg1	0.984932	2.898451	-1.909620	0.276536	0.064510	-1.147971
Eml2	0.984932	3.573906	-1.983673	0.672080	0.064510	-0.035907
Eml4	2.934230	-0.948176	-0.317834	5.577773	0.064510	-1.567293
Endod1	-1.796812	1.157535	-0.999841	-0.364470	0.254569	-3.895056
Eno1	0.372407	0.898985	-0.294362	0.488733	-0.486236	-1.135436
Eny2	0.984932	4.889300	-1.909136	1.382970	0.064510	0.705914
Ep400	0.984932	-4.298971	1.440122	0.672080	0.064510	-1.147971
Epb41l2	0.426276	1.221580	1.113210	-2.121195	3.182055	-1.147971
Eprs	-0.429994	1.024933	-0.276102	-0.834425	-0.381014	-1.065542
Eps15l1	0.278616	1.221580	1.113210	0.672080	-1.194747	-1.147971
Erap1	-1.384240	0.728400	-0.627987	0.238158	-2.244054	-1.240687
Erbb2ip	0.984932	1.221580	-0.513291	0.672080	0.064510	0.124921
Ercc6l	0.984932	1.598866	-1.953813	-1.819822	-0.829203	-1.735395
Ergic1	-0.661567	0.690998	-0.054473	-2.165910	-3.281919	-1.868273
Erh	0.238797	0.883996	-0.344718	0.415574	0.440545	-0.704324
Erlin2	-1.324188	1.957737	-1.606531	-3.411653	-1.718827	-1.432221
Ermp1	0.984932	1.077876	-2.347820	0.672080	0.064510	-1.117752
Ero1l	0.066966	2.211726	-1.101186	-0.351444	-0.258710	-0.784420
Erp29	-1.058505	-0.982409	0.601593	1.288988	-1.330398	-1.535080
Erp44	-0.112707	0.793375	-1.216882	-0.516703	1.511295	0.345931
Esd	-1.367398	1.006173	-0.285536	-0.542148	-3.252017	-0.343788
Esr1	3.809276	3.806861	-2.471828	4.630238	-3.521512	3.186609
Esyt1	-1.558581	0.552035	-0.406641	0.231682	-1.768294	-1.221860
Etf1	-0.540727	2.155162	-0.071467	-0.741221	-0.886225	-1.173162
Etfa	0.095708	1.329266	-0.741447	-0.389591	-0.057238	-0.622970
Etfb	-0.536830	0.360319	-0.625450	-0.832270	-0.098209	-0.813377
Ewsr1	-1.109295	1.068071	0.138610	-0.867001	0.333383	0.028271
Exoc4	8.553556	9.640748	1.113210	-0.376775	0.064510	-1.147971
Exosc1	-1.504566	1.509765	1.113210	-0.942397	-1.741203	-1.147971
Exosc10	-0.800633	-0.023896	1.113210	-2.990233	-0.634058	-1.147971
Exosc4	-2.080518	-0.161696	-0.522967	4.776949	0.064510	-1.429048
Exosc6	-1.579513	6.519045	1.113210	-2.887759	-0.479322	-1.147971
Exosc8	0.149224	-2.058225	1.291535	-3.991724	-0.929681	-1.147971
Exosc9	-1.673621	1.221580	1.113210	0.672080	-0.384175	-1.147971
Ezh2	0.634239	1.502721	1.113210	-0.274833	0.940133	-1.147971
Ezr	0.352321	1.085304	-0.544714	-1.436400	-4.631772	-2.341372
FAM120A	-1.974402	-2.963670	0.264207	-4.805869	0.788849	3.598764
Fabp5	-0.850736	1.072164	-0.676454	1.098631	-0.147446	-2.102144
Fadd	0.984932	1.221580	-1.066993	0.672080	0.064510	-1.147971
Fads2	10.986068	13.726754	1.644786	0.672080	0.064510	-1.147971
Faf1	-2.241766	1.221580	1.113210	0.672080	0.572115	-1.147971
Faf2	0.984932	1.064240	-1.321123	-2.833856	0.680397	-1.139339
Faim	0.984932	0.366672	-0.935967	0.672080	0.064510	-1.812076
Fam107b	-0.086005	1.214622	4.928392	-2.001568	-3.751517	-2.304562
Fam111a	0.099918	2.498387	1.113210	-1.688144	1.047745	-1.147971
Fam136a	-0.607457	1.132968	-4.977051	-2.595228	-4.953582	-1.910806
Fam162a	-0.679631	-0.312940	-0.185564	5.769478	1.738963	-0.490960
Fam171b	0.984932	3.307103	0.551215	0.672080	0.064510	-1.147971
Fam3c	-1.456729	1.221580	1.113210	-3.054537	0.268551	-1.147971
Fam49b	-3.313891	1.861302	-0.761355	0.305772	1.612549	-0.242772
Fam50a	-0.234552	-0.430238	1.113210	-1.021145	-3.547434	-1.147971
Fam76b	2.018915	0.272357	2.527534	-2.408586	2.141602	-0.489463
Fam98b	0.055372	1.586628	-0.219481	-1.940290	1.784926	2.065425
Far1	-0.378298	1.392922	-1.641702	6.308401	-2.448797	-0.659677
Farsa	0.208129	1.326391	-0.309141	0.352392	-4.889707	-1.486828
Farsb	-0.460899	1.053990	0.504916	-0.252973	-2.100502	-0.894244
Fasn	-0.730132	1.117486	-0.418103	0.255751	-1.462590	-0.989269
Fau	-0.753330	0.372272	-0.959375	1.983233	-2.320752	-1.158534
Fbl	-0.478572	1.568680	-0.500186	1.207443	-0.622792	-1.060883
Fcrl1	0.056487	1.221580	1.113210	0.672080	-2.603799	-1.147971
Fdps	0.619981	2.176715	-0.571356	-1.098474	-1.208781	-0.512287
Fdxr	2.191626	3.531426	-0.982000	2.281695	2.032632	0.275173
Fen1	0.017358	0.649080	-0.130092	-0.385476	-1.583753	-0.962566
Fermt3	-0.621196	1.110047	-0.130603	1.468227	-1.494931	-0.282075
Fh	-0.354559	1.231829	-0.486724	-0.235966	-2.088097	-0.946039
Fip1l1	-2.256407	1.029999	-0.281648	-1.007647	0.064510	-0.340410
Fis1	0.630716	0.581377	-0.307167	-0.888392	0.338898	-0.740945
Fiz1	-0.893342	1.221580	1.113210	-2.553080	-0.675046	-1.147971
Fkbp15	0.984932	1.221580	1.113210	-3.068774	1.527900	-1.147971
Fkbp1a	-0.097608	2.238566	-1.331315	-2.181709	-1.046923	-1.477406
Fkbp2	0.148277	1.796655	-0.825683	4.018441	-0.066194	-5.613147
Fkbp3	-0.252439	1.469777	-0.526381	0.735221	0.715967	-0.789357
Fkbp4	-0.306541	1.291686	-0.450084	-1.573017	-0.072406	-0.784645
