#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000022265	-0.015687	0.234215	-0.171131	0.164220	0.480113	0.657185
ENSMUSG00000022269	0.340920	0.324473	0.249467	0.335927	0.460971	0.363685
ENSMUSG00000022270	-0.488516	-0.519189	0.217148	0.445353	0.426274	0.374982
ENSMUSG00000022272	-0.264846	0.422387	-0.060004	0.253859	0.297001	0.346567
ENSMUSG00000022280	0.230377	-0.014291	-0.176972	0.098004	-0.105253	0.033662
ENSMUSG00000022283	1.190688	-0.055846	0.360042	-0.455468	0.184268	-0.027007
ENSMUSG00000022285	0.074309	0.013638	0.049832	-0.194484	0.049123	-0.002939
ENSMUSG00000022286	-0.629965	0.728570	0.145704	0.751654	0.185900	0.748562
ENSMUSG00000022292	0.566745	-0.030468	0.580036	1.845827	1.480407	1.316839
ENSMUSG00000022295	-0.182958	0.178689	0.477145	-0.047748	0.315856	-0.100625
ENSMUSG00000022299	0.153661	0.169108	0.397339	0.000489	0.245805	0.119836
ENSMUSG00000022300	-0.495367	0.211351	0.667803	0.396925	0.213473	0.278747
ENSMUSG00000022304	-0.494122	0.109117	0.057038	1.421180	0.731429	1.620596
ENSMUSG00000022305	-0.442655	0.071394	-0.070829	0.562308	0.023154	0.554080
ENSMUSG00000022306	-0.695843	0.153558	0.179023	0.299604	-0.026187	0.032692
ENSMUSG00000022307	0.294700	0.950901	0.691742	1.200411	0.770772	0.807075
ENSMUSG00000022309	0.166616	-0.305102	0.063151	-0.046480	-0.140810	0.217582
ENSMUSG00000022311	-0.773923	0.320693	0.706067	1.591047	0.538375	1.737023
ENSMUSG00000022312	-0.290273	0.410547	0.566153	0.661908	0.456659	0.516286
ENSMUSG00000022313	-0.081812	0.180962	0.341547	-0.055171	0.390648	0.314916
ENSMUSG00000022314	0.376294	0.170737	0.071786	-0.159671	0.423547	0.089277
ENSMUSG00000022321	-0.657397	0.403272	-0.312277	0.362969	0.162410	0.662802
ENSMUSG00000022322	-0.149303	0.079315	-0.625727	-0.195141	-0.143538	-0.302876
ENSMUSG00000022323	0.141003	0.819267	0.114592	-0.079294	0.184485	0.027551
ENSMUSG00000022324	-0.312316	0.033574	-0.074317	0.655412	0.121312	0.144078
ENSMUSG00000022325	0.141003	0.819267	0.114592	-0.079294	0.184485	0.027551
ENSMUSG00000022329	0.080470	0.854625	1.185269	1.515550	0.916903	1.535385
ENSMUSG00000022330	-0.007313	-0.300455	-0.107963	-0.126960	-0.223856	-0.451443
ENSMUSG00000022332	-0.286077	0.642702	0.150780	0.798341	0.107788	0.190940
ENSMUSG00000022335	0.980146	1.315702	0.160775	1.479377	0.095193	0.368361
ENSMUSG00000022336	0.376784	-0.006583	0.179777	-0.154140	0.334826	-0.073376
ENSMUSG00000022337	-0.145452	0.083256	0.044734	0.295516	0.052781	0.372689
ENSMUSG00000022338	0.048626	0.130752	-0.086045	-0.125411	0.144209	0.014917
ENSMUSG00000022339	0.466385	-0.125220	0.217472	-0.180013	-0.109943	0.115435
ENSMUSG00000022340	-0.234381	-0.247613	-0.120546	0.669638	-0.204117	-0.246486
ENSMUSG00000022346	0.495586	-0.471133	-0.319687	-0.502689	-0.393783	-0.549568
ENSMUSG00000022350	0.156161	0.482639	0.366963	0.131433	0.208341	-0.178265
ENSMUSG00000022351	0.921933	0.109408	0.351158	-0.365822	0.195185	-0.210227
ENSMUSG00000022353	0.121831	-0.136974	0.062441	-0.101455	0.116282	0.023016
ENSMUSG00000022354	0.223074	0.531265	0.443166	-0.194404	0.260204	0.045000
ENSMUSG00000022358	0.119245	1.260086	0.891849	0.451567	0.468733	0.063868
ENSMUSG00000022359	0.160298	0.340075	-0.050197	-0.027222	-0.259673	0.008536
ENSMUSG00000022360	0.523254	-0.091028	0.243172	-0.544495	-0.190313	-0.218865
ENSMUSG00000022361	0.426203	0.640288	1.180132	2.451628	1.709886	1.808622
ENSMUSG00000022362	0.426203	0.640288	1.180132	2.451628	1.709886	1.808622
ENSMUSG00000022364	-0.033441	-0.307564	-0.131366	-0.135755	-0.109443	-0.269009
ENSMUSG00000022365	0.294199	-0.451983	-0.006013	-0.257823	0.212488	0.090876
ENSMUSG00000022366	0.493787	0.749277	0.378581	0.364012	0.225161	0.671012
ENSMUSG00000022367	-0.324512	0.677191	0.454113	0.307879	-0.025011	2.227190
ENSMUSG00000022369	-0.074819	0.274557	-0.089240	0.153074	0.163929	-0.277465
ENSMUSG00000022370	-0.239550	0.170233	0.073878	0.281263	0.066197	-0.022783
ENSMUSG00000022371	0.060590	0.389737	-0.437160	0.240315	0.586936	0.908547
ENSMUSG00000022372	-0.098430	-0.165275	0.059885	0.172193	0.032959	0.174649
ENSMUSG00000022375	-0.213476	0.604045	0.233192	0.828694	0.755525	1.347129
ENSMUSG00000022376	-0.151646	-0.255417	-0.501151	0.240403	0.382861	0.310751
ENSMUSG00000022377	0.045345	0.533052	0.597444	1.009205	0.260512	1.145245
ENSMUSG00000022378	0.696498	0.141597	1.243535	0.600706	1.220943	0.425941
ENSMUSG00000022382	-0.010205	-1.113343	0.324817	0.046471	0.783780	0.660793
ENSMUSG00000022385	0.042630	-0.092709	0.003448	-0.279315	-0.089863	-0.126406
ENSMUSG00000022386	-0.053984	-0.048263	-0.116570	-0.324506	-0.117415	-0.107903
ENSMUSG00000022387	-0.209000	1.015896	-0.054222	0.121002	0.223111	0.182128
ENSMUSG00000022388	-0.503855	-0.050311	-0.314698	0.364332	-0.077551	0.207080
ENSMUSG00000022389	-0.286515	-0.373320	-0.738045	-0.421705	-0.534025	-0.848955
ENSMUSG00000022390	-0.067669	0.050697	0.231324	-0.022018	-0.063690	0.065092
ENSMUSG00000022391	0.040140	-0.035813	0.269863	-0.048828	-0.067730	0.158481
ENSMUSG00000022394	-0.227467	-0.435213	-0.329600	-0.038686	-0.093563	-0.266861
ENSMUSG00000022400	0.226242	0.085738	-0.318466	-0.257922	0.068203	0.083915
ENSMUSG00000022401	-0.163062	0.664220	-0.289729	0.570496	0.331546	0.689949
ENSMUSG00000022403	0.653180	0.304707	0.365370	-0.284799	0.303914	-0.213047
ENSMUSG00000022404	-0.141910	-0.138764	-0.300167	-0.128360	-0.230855	-0.060182
ENSMUSG00000022407	-0.409621	-0.102596	-0.611059	-0.313149	-0.784364	-0.390237
ENSMUSG00000022408	-0.037650	0.008825	-0.159396	-0.144790	-0.145309	-0.395774
ENSMUSG00000022412	0.627253	0.114638	0.238671	-0.301890	0.395591	0.079706
ENSMUSG00000022414	0.634351	0.489223	0.508164	-0.195890	0.341465	-0.104763
ENSMUSG00000022415	0.234628	-0.459453	0.177134	0.144407	0.519869	-0.391406
ENSMUSG00000022416	-0.370469	-0.309851	-0.206921	-0.061294	-0.454394	-0.253025
ENSMUSG00000022419	0.205296	-0.017759	-0.021954	-0.416133	-0.047914	-0.382822
ENSMUSG00000022420	-0.044595	-0.358980	-0.082751	-0.548048	-0.068172	0.152182
ENSMUSG00000022421	-1.458600	0.008104	-0.478222	0.304398	0.043363	0.145866
ENSMUSG00000022422	-0.313840	0.005289	0.151815	0.113538	0.185782	0.134923
ENSMUSG00000022426	0.248284	-0.085596	0.420610	0.154384	0.280318	-0.109717
ENSMUSG00000022427	0.354487	-0.057954	0.122766	-0.167052	0.156127	-0.071408
ENSMUSG00000022428	0.303787	0.120934	0.256457	-0.115718	0.141992	-0.127017
ENSMUSG00000022429	0.183480	0.188638	0.558399	0.299059	0.367088	0.470825
ENSMUSG00000022431	0.196961	0.932055	1.338304	0.233262	0.855852	0.132106
ENSMUSG00000022432	0.196961	0.932055	1.338304	0.233262	0.855852	0.132106
ENSMUSG00000022433	0.658770	1.314623	0.789112	-0.071478	0.440663	0.458456
ENSMUSG00000022434	-0.409704	0.043477	-0.773337	-0.017377	0.022786	0.406280
ENSMUSG00000022436	1.517258	0.065861	0.663831	0.488354	0.380818	0.804087
ENSMUSG00000022437	-0.143424	-0.274574	-0.273675	-0.272367	0.080838	-0.285116
ENSMUSG00000022438	-0.165858	0.008136	0.087786	0.242996	0.186477	-0.089341
ENSMUSG00000022439	0.328114	0.279566	-0.182075	-0.267995	-0.160059	-0.713599
ENSMUSG00000022440	-0.300786	-0.019846	-0.327556	-0.283736	-0.432899	-0.248156
ENSMUSG00000022441	-0.568385	-0.025079	-0.133316	0.014071	0.094145	0.052696
ENSMUSG00000022442	0.337222	0.159214	-0.114665	-0.138761	0.387832	0.046124
ENSMUSG00000022443	-0.146879	0.005641	0.355893	1.382951	0.716727	1.797096
ENSMUSG00000022449	-0.282109	0.535877	0.035462	0.349560	0.032989	0.139847
ENSMUSG00000022450	0.041509	0.790872	1.114652	0.097912	-0.390459	-0.906704
ENSMUSG00000022451	0.201351	0.158337	0.068199	0.220140	0.332175	0.422565
ENSMUSG00000022452	0.312867	-0.226586	-0.018706	-0.466742	-0.124715	-0.121173
ENSMUSG00000022453	0.293053	-0.160885	0.138965	-0.445275	-0.116575	0.017633
ENSMUSG00000022454	-0.215828	-0.179723	0.641020	-0.138940	0.379384	0.154910
ENSMUSG00000022456	-0.231275	-0.069268	0.281288	0.165861	-0.192974	0.343760
ENSMUSG00000022462	0.304430	0.886636	0.627148	0.503883	0.837587	0.650187
ENSMUSG00000022463	-0.434419	0.083383	-0.495048	-0.346687	-0.343961	-0.467513
ENSMUSG00000022466	-0.753790	0.357485	0.102692	0.226063	0.169221	0.020106
ENSMUSG00000022468	0.033958	-0.338077	-0.166153	-0.100372	-0.170631	-0.176105
ENSMUSG00000022469	0.200780	-0.730291	-0.685058	-0.918923	-0.391320	-0.742549
ENSMUSG00000022471	0.057343	0.209883	0.317918	0.181906	-0.081846	0.069848
ENSMUSG00000022472	0.177437	0.267664	0.685527	0.439246	0.062870	0.415002
ENSMUSG00000022474	0.111854	-0.197632	0.145476	-0.439178	0.009278	-0.179311
ENSMUSG00000022475	0.376447	-0.681264	-0.391138	-0.804892	-0.783967	-0.809967
ENSMUSG00000022476	-0.488630	-0.023856	-0.398987	0.006598	-0.097244	-0.197909
ENSMUSG00000022477	-0.368328	0.056020	-0.804631	0.245152	-0.129864	-0.653489
ENSMUSG00000022479	-0.448240	-0.302243	-0.290791	0.077395	-0.292153	0.021562
ENSMUSG00000022485	0.112137	0.275906	-0.134303	0.257073	0.267425	0.183313
ENSMUSG00000022487	0.688809	1.093515	1.435326	1.511827	2.159585	1.275388
ENSMUSG00000022488	-0.194506	-0.025885	0.022612	-0.160076	0.059409	0.236882
ENSMUSG00000022490	-0.180458	0.076140	-0.607447	0.391176	-0.100162	-0.010946
ENSMUSG00000022494	-0.079728	1.534057	1.689864	0.619380	1.131141	0.434115
ENSMUSG00000022496	0.050182	-0.035197	0.225596	0.606065	-0.030277	-0.092563
ENSMUSG00000022498	-0.289350	0.179313	0.337522	0.822298	0.226886	0.390222
ENSMUSG00000022500	0.849541	0.592938	0.750913	0.532061	0.567171	0.342657
ENSMUSG00000022501	-0.052554	0.653168	0.373882	0.334851	0.178630	0.111729
ENSMUSG00000022503	0.787124	-0.178611	0.086764	-0.622412	0.035357	-0.215819
ENSMUSG00000022504	-0.308142	0.010610	-0.127370	0.098113	-0.351265	-0.359598
ENSMUSG00000022505	-0.989220	-0.321469	-0.068107	0.063256	-0.460728	0.115898
ENSMUSG00000022507	-0.496778	-1.152895	-0.933525	-1.064085	-0.522539	-0.360637
ENSMUSG00000022508	-0.088691	-0.395960	0.080001	-0.120329	-0.094948	-0.208572
ENSMUSG00000022510	-0.353208	-0.185397	-0.010131	0.068318	0.390879	0.514236
ENSMUSG00000022512	-0.417743	0.255335	0.134554	0.398166	0.317766	0.150309
ENSMUSG00000022514	-0.011067	0.529992	0.406682	1.439642	1.218623	2.277027
ENSMUSG00000022515	0.325063	0.126866	0.392282	-0.233521	0.476816	0.291496
ENSMUSG00000022516	0.132290	-0.099421	0.003873	-0.306747	0.096346	-0.166674
ENSMUSG00000022517	0.117417	-0.789422	-0.781676	-0.682809	-0.752209	-0.766735
ENSMUSG00000022518	-0.073688	-0.604567	-0.335902	-0.159330	-0.472485	-0.292615
ENSMUSG00000022519	0.305013	0.105467	-0.052336	-0.127122	-0.095685	-0.178567
ENSMUSG00000022521	-0.064764	0.337074	0.385343	-0.438419	-0.459353	-0.369204
ENSMUSG00000022523	1.123555	0.531867	1.031262	0.809105	1.098324	0.260027
ENSMUSG00000022526	0.133261	-0.087913	0.037470	0.030190	-0.172748	-0.233770
ENSMUSG00000022528	0.122002	-0.145044	0.021600	-0.244174	0.116895	0.120649
ENSMUSG00000022529	0.286986	0.045541	0.208219	-0.189406	0.257568	-0.083142
ENSMUSG00000022533	-0.182351	0.105693	0.110438	0.259126	-0.191937	0.019084
ENSMUSG00000022534	-0.925168	-0.405443	-0.086391	-0.947703	-0.165092	0.238196
ENSMUSG00000022536	0.309779	-0.099512	-0.153483	-0.659030	-0.175959	-0.376893
ENSMUSG00000022537	-0.127003	0.069837	0.117468	0.189778	-0.081933	0.072994
ENSMUSG00000022538	0.284609	-0.111185	0.043777	-0.179219	-0.031248	-0.298408
ENSMUSG00000022540	0.293595	-0.005818	-0.338209	-0.859374	-0.375759	-0.445058
ENSMUSG00000022543	0.407158	0.092808	0.302021	-0.027852	0.219807	-0.146736
ENSMUSG00000022544	0.290221	-0.196745	0.069701	-0.115292	0.055929	-0.032992
ENSMUSG00000022545	0.548491	0.133400	0.526224	2.024991	1.516577	0.858468
ENSMUSG00000022546	0.063723	-0.038234	-0.043948	-0.514036	0.519616	0.074819
ENSMUSG00000022548	0.946689	-0.860012	-0.678068	-0.250949	-0.621485	-0.732320
ENSMUSG00000022550	0.313831	-0.038793	0.072572	-0.324254	0.004590	-0.218230
ENSMUSG00000022551	0.290391	0.412378	0.228763	-0.064554	-0.066768	-0.280559
ENSMUSG00000022554	0.284715	-0.257124	-0.205249	-0.294015	-0.117665	-0.339869
ENSMUSG00000022556	0.575011	-0.081912	0.228753	-0.336754	0.464301	-0.008032
ENSMUSG00000022557	-0.038410	0.079576	-0.431026	-0.024257	-0.199679	-0.119408
ENSMUSG00000022558	-0.269674	0.669793	1.034484	0.757742	0.599455	0.435508
ENSMUSG00000022559	0.014307	-0.442460	-0.687828	-0.636857	-1.250098	-0.877906
ENSMUSG00000022560	-0.296774	0.123504	-0.153470	0.072552	-0.154401	0.262544
ENSMUSG00000022561	-0.027437	-0.096878	-0.451052	-0.137686	-0.140052	-0.474526
ENSMUSG00000022562	0.207476	0.109111	0.163602	0.243845	0.171935	0.197038
ENSMUSG00000022564	0.078702	0.599658	0.452490	0.000764	0.465796	0.164369
ENSMUSG00000022565	0.344380	-0.063587	-0.151557	-0.168862	0.228084	0.041871
ENSMUSG00000022568	0.506067	0.273640	0.561393	-0.155999	0.437705	0.093389
ENSMUSG00000022570	-0.249400	0.310686	-0.214473	-0.101869	0.003320	-0.404629
ENSMUSG00000022571	0.048799	-0.037312	0.021831	-0.010863	0.177415	0.047562
ENSMUSG00000022577	-0.888870	-0.108434	-0.194603	0.407051	0.116646	0.387751
ENSMUSG00000022580	-0.247852	0.239993	-0.561957	-0.405929	-0.231066	-0.178101
ENSMUSG00000022584	-0.468753	-0.386437	-0.290468	0.065506	-0.245332	0.165306
ENSMUSG00000022587	-0.276915	-0.151029	0.088328	-0.175203	-0.389797	-0.450657
ENSMUSG00000022594	-0.205452	-0.250550	-0.009111	-0.166203	0.056212	-0.046809
ENSMUSG00000022596	-0.279559	-0.244252	-0.116151	-0.113736	-0.100414	-0.193681
ENSMUSG00000022601	0.604148	-0.004962	0.248269	-0.324295	0.045984	-0.073452
ENSMUSG00000022602	-0.535762	-0.063710	-0.149908	-0.099954	-0.377053	-0.561869
ENSMUSG00000022604	0.062136	0.007782	-0.447742	-0.079091	0.152718	-0.024862
ENSMUSG00000022607	-0.438514	0.016729	0.295215	0.471559	0.265039	0.679138
ENSMUSG00000022610	-0.144105	-0.115490	-0.335222	-0.013474	-0.109201	-0.194453
ENSMUSG00000022613	-0.265744	-0.089188	0.063899	0.665503	0.487657	1.163605
ENSMUSG00000022614	0.414286	0.138309	-0.100382	-0.529776	-0.152906	-0.390216
ENSMUSG00000022617	0.199208	-0.129955	0.172480	-0.284511	0.029144	-0.446164
ENSMUSG00000022619	-1.123171	-0.087716	0.213009	0.412457	0.851525	0.409100
ENSMUSG00000022620	-0.062422	0.120603	0.087422	-0.078215	0.150921	0.178573
ENSMUSG00000022621	0.256605	-0.553762	-0.188605	-0.210075	-0.157548	-0.048996
ENSMUSG00000022623	-0.957439	0.085927	-0.060367	0.174606	-0.342031	-0.317160
ENSMUSG00000022629	-1.010629	0.544754	0.118014	-0.031430	0.082324	0.172617
ENSMUSG00000022634	0.258789	-0.045998	0.127221	-0.125074	0.000463	0.030595
ENSMUSG00000022635	0.892452	0.676220	0.980609	-0.096006	0.786450	0.521414
ENSMUSG00000022636	-0.384471	-0.154279	-0.302583	0.924530	-0.280938	0.257133
ENSMUSG00000022637	0.605666	0.433818	0.785436	0.570357	0.327214	0.642327
ENSMUSG00000022639	-0.226935	-0.039600	0.251640	0.157439	0.270356	0.043429
ENSMUSG00000022641	0.042286	1.209088	0.678212	1.788576	1.078595	1.342046
ENSMUSG00000022652	-0.970422	0.171535	-0.385866	0.563846	0.047158	-0.063975
ENSMUSG00000022659	-0.904948	0.020474	-0.030321	0.700402	0.132994	0.583551
ENSMUSG00000022663	0.256816	0.061876	-0.063427	0.116416	0.096478	0.289278
ENSMUSG00000022664	0.509892	-0.027334	0.161008	-0.231409	0.275467	0.052853
ENSMUSG00000022665	0.243389	-0.100695	-0.403871	0.085781	-0.145516	-0.329076
ENSMUSG00000022667	0.020407	0.145887	0.137171	0.246059	0.380893	0.529211
ENSMUSG00000022668	0.186730	-0.216556	0.515962	0.216985	0.210196	0.126678
ENSMUSG00000022671	0.283682	0.041808	0.032470	-0.108534	0.108707	-0.359967
ENSMUSG00000022672	-1.171261	-0.120694	-0.435895	0.280118	-0.778969	-0.243872
ENSMUSG00000022674	0.346842	-0.083190	0.309302	-0.344607	-0.150033	-0.482380
ENSMUSG00000022676	0.268957	0.009384	0.379629	0.634959	0.569214	1.466614
ENSMUSG00000022677	-0.717214	0.179091	-0.427784	0.060783	0.410505	-0.020938
ENSMUSG00000022678	0.054337	0.159106	-0.219305	-0.026201	-0.286513	-0.310776
ENSMUSG00000022679	1.154448	0.961454	0.039871	0.759262	0.296436	0.457034
ENSMUSG00000022680	0.973696	0.644499	0.154277	1.132672	1.041681	0.978702
ENSMUSG00000022681	0.338425	-0.230429	-0.158181	-0.366445	0.354201	0.142983
ENSMUSG00000022682	-0.047518	0.266081	0.305015	-0.026891	0.408956	-0.034212
ENSMUSG00000022683	-0.067880	0.089227	-0.330916	-0.607076	-0.636396	-0.791261
ENSMUSG00000022684	-0.156576	0.062072	0.436802	-0.103937	0.151949	0.290079
ENSMUSG00000022685	-0.036007	-0.035556	0.073135	-0.107854	0.353927	0.138857
ENSMUSG00000022686	0.114884	0.146172	0.323304	-0.118455	0.150526	-0.104082
ENSMUSG00000022687	-0.749237	0.085206	-0.486449	0.119663	-0.148302	-0.159727
ENSMUSG00000022696	-0.604792	-0.108391	-0.031944	-0.065626	0.000093	0.347784
ENSMUSG00000022698	0.346250	0.142292	0.370533	0.579439	-0.096820	0.254567
ENSMUSG00000022701	-0.231950	-0.290352	-0.098693	0.062668	0.173054	-0.073109
ENSMUSG00000022702	1.308844	0.635640	0.876304	-0.520544	0.389189	0.310931
ENSMUSG00000022704	-0.099393	-0.599040	-0.040714	-0.052748	-0.017896	-0.058001
ENSMUSG00000022705	0.600664	0.667269	1.272941	1.379785	0.265182	0.805077
ENSMUSG00000022706	-0.059444	-0.159906	0.057580	-0.203978	0.008345	-0.296367
ENSMUSG00000022707	0.142080	0.353698	0.250237	0.140169	0.021093	0.122972
ENSMUSG00000022708	0.311572	1.201729	0.784130	0.174586	0.570983	0.918429
ENSMUSG00000022710	-0.146397	-0.731059	0.147383	-0.777435	-0.362797	-1.500564
ENSMUSG00000022711	0.261308	0.329815	-0.046453	0.043846	0.262669	0.116327
ENSMUSG00000022715	-0.461262	0.117778	-0.042748	0.306169	0.277108	0.825241
ENSMUSG00000022718	1.346220	0.702712	1.697210	-0.052987	0.489522	0.037822
ENSMUSG00000022721	0.289233	-0.165765	-0.024111	-0.386226	-0.287894	-0.290196
ENSMUSG00000022722	0.108241	0.085514	0.201746	0.003872	0.541796	0.289981
ENSMUSG00000022723	-0.690694	0.181975	0.363476	0.323490	0.264877	0.549812
ENSMUSG00000022724	0.344605	0.577695	0.760327	0.340008	-0.154220	-0.371172
ENSMUSG00000022742	-0.099633	0.497739	-0.155883	0.327008	-0.168581	-0.022222
ENSMUSG00000022744	0.203274	-0.319463	0.266235	-0.603345	0.090078	-0.451961
ENSMUSG00000022747	0.472387	0.336681	0.476895	-0.016695	0.208788	0.191362
ENSMUSG00000022748	-0.009674	0.334081	0.336670	0.842997	0.855584	1.008335
ENSMUSG00000022749	-0.226129	-0.245656	-0.122693	0.213702	0.027659	0.596266
ENSMUSG00000022750	0.141757	-0.250148	-0.277587	0.166075	-0.249104	-0.006305
ENSMUSG00000022751	0.523263	-0.038680	0.373561	-0.047890	0.198142	-0.080758
ENSMUSG00000022752	0.145793	0.111377	-0.125265	0.246816	-0.126339	0.221796
ENSMUSG00000022754	-0.417705	0.521190	0.521826	0.897306	0.975569	1.717931
ENSMUSG00000022755	-0.236182	-0.286655	-0.186676	0.247432	-0.515694	0.630647
ENSMUSG00000022756	-0.350811	-0.120684	-0.283941	0.135170	-0.366625	-0.202684
ENSMUSG00000022757	0.598641	-0.408493	-0.047074	-0.511549	-0.139773	-0.266467
ENSMUSG00000022758	-0.350811	-0.120684	-0.283941	0.135170	-0.366625	-0.202684
ENSMUSG00000022759	-0.096361	-0.453549	-0.383095	-0.206278	-0.310111	-0.035048
ENSMUSG00000022760	0.281935	0.372014	0.336275	-0.299324	0.035867	-0.328272
ENSMUSG00000022761	-0.243249	0.432386	-0.130697	0.017176	-0.014719	-0.574550
ENSMUSG00000022762	-0.626838	0.326495	0.118834	0.247804	0.372398	0.363539
ENSMUSG00000022765	0.400098	-0.152130	-0.099872	-0.053063	-0.024544	0.053661
ENSMUSG00000022768	-0.055905	-0.126751	-0.199591	-0.389907	-0.585105	-0.638614
ENSMUSG00000022769	0.648812	-0.324238	-0.304828	-0.426490	-0.177447	-0.527598
ENSMUSG00000022770	0.118063	0.347405	1.091128	1.477863	1.393394	1.069005
ENSMUSG00000022771	0.018493	0.228681	0.287636	-0.202214	0.274994	-0.048926
ENSMUSG00000022772	0.213161	-0.003155	0.195891	-0.089695	0.105316	-0.031957
ENSMUSG00000022773	0.846564	0.306239	1.050805	0.313986	0.761780	0.521924
ENSMUSG00000022774	0.842423	0.062142	0.418262	-0.307358	0.222135	0.052605
ENSMUSG00000022779	0.264479	-0.309814	-0.143454	-0.262230	-0.148557	-0.286884
ENSMUSG00000022780	-0.208597	-0.644188	-0.262888	-0.347131	-0.747636	-1.060159
ENSMUSG00000022781	0.304446	0.597641	0.559721	-0.107474	0.372107	0.241014
ENSMUSG00000022787	0.692370	-0.016522	0.076173	-0.425966	0.170737	0.017150
ENSMUSG00000022788	-0.147639	-0.220829	-0.280184	0.743768	0.378565	0.461551
ENSMUSG00000022789	0.271989	0.151655	0.171772	-0.169365	0.278634	-0.172177
ENSMUSG00000022791	1.659060	0.678135	0.728701	0.053510	0.339181	0.074517
ENSMUSG00000022792	0.026193	0.274292	0.449095	0.045538	0.113466	-0.272997
ENSMUSG00000022793	0.368846	0.317606	0.156259	0.011957	0.299875	-0.177412
ENSMUSG00000022797	0.245990	-0.304808	-0.052642	-0.550324	-0.165437	-0.266525
ENSMUSG00000022798	-0.319639	-0.358509	-0.317220	0.261038	-0.490890	-0.307774
ENSMUSG00000022799	1.068759	0.430161	-0.273909	0.767236	0.176147	0.995969
ENSMUSG00000022800	0.729061	0.655249	0.664470	-0.009858	0.166156	-0.041576
ENSMUSG00000022801	-0.258101	0.141232	-0.083106	0.043197	-0.139217	-0.028763
ENSMUSG00000022802	-0.148456	-0.084780	0.346559	-0.015212	-0.293006	0.024161
ENSMUSG00000022805	-0.917290	0.610452	-0.709337	1.538662	-0.341155	0.224000
ENSMUSG00000022807	0.088271	0.213648	0.026319	-0.037027	0.143683	0.008809
ENSMUSG00000022808	0.076534	0.077379	-0.000152	-0.062339	0.104246	0.183763
ENSMUSG00000022811	-0.828021	1.224494	0.582966	0.849788	1.741474	0.787968
ENSMUSG00000022812	-0.203319	0.126830	0.014518	0.182395	0.588893	0.423433
ENSMUSG00000022814	0.846550	0.663987	0.756889	0.990713	0.483316	0.257269
ENSMUSG00000022816	0.416389	0.037749	0.018035	0.174898	0.048031	0.127092
ENSMUSG00000022817	0.095022	0.194162	-0.081831	-0.191540	0.237231	-0.268238
ENSMUSG00000022820	0.450556	-0.192293	0.031071	-0.205325	0.201047	-0.048181
ENSMUSG00000022822	0.326257	-0.083028	0.025184	-0.240392	0.339874	-0.185430
ENSMUSG00000022824	-0.219883	-0.000720	-0.398499	0.004162	0.005260	-0.361031
ENSMUSG00000022827	0.177483	-0.109116	0.245455	-0.318515	0.121170	-0.279879
ENSMUSG00000022828	0.177483	-0.109116	0.245455	-0.318515	0.121170	-0.279879
ENSMUSG00000022829	-0.585420	-0.622260	0.373669	0.148806	-0.414877	-0.087964
ENSMUSG00000022831	-0.437765	0.231715	-0.106407	0.031101	0.173368	0.216701
ENSMUSG00000022832	-0.010032	0.170359	0.369207	0.139690	0.247217	0.137333
ENSMUSG00000022833	0.119565	0.305930	-0.200874	0.143678	0.038533	-0.510632
ENSMUSG00000022836	0.940267	1.020130	0.974681	0.573083	0.062341	-0.297962
ENSMUSG00000022837	0.061654	-0.326532	0.176218	0.184836	0.530339	0.897867
ENSMUSG00000022838	-2.297376	-0.553511	-0.956457	-0.887183	-0.777143	-0.928147
ENSMUSG00000022840	0.163352	0.339416	0.095022	1.388937	0.883279	0.862438
ENSMUSG00000022841	-0.015576	-0.341489	-0.126174	-0.162744	0.472983	0.715265
ENSMUSG00000022842	0.567345	0.195106	0.435660	-0.081553	-0.236764	-0.286960
ENSMUSG00000022843	-0.187349	-0.272416	-0.442875	-0.161860	-0.038788	-0.205087
ENSMUSG00000022844	-0.262435	-0.576432	0.226944	0.329622	0.822458	1.041924
ENSMUSG00000022848	0.695805	0.422090	0.553331	0.245040	0.539022	0.765430
ENSMUSG00000022849	0.174030	0.158473	0.221746	-0.071275	0.084225	-0.003609
ENSMUSG00000022855	0.268459	-0.490198	-0.355699	-0.552806	0.024945	-0.189460
ENSMUSG00000022856	0.940682	0.500074	0.669069	-0.004944	0.398799	0.566192
ENSMUSG00000022857	-0.358473	0.560096	0.165967	1.121706	0.907837	1.066884
ENSMUSG00000022858	-0.110507	-0.332677	0.380505	0.984680	0.826273	1.268465
ENSMUSG00000022861	0.042500	0.241865	-0.034329	0.003696	-0.075370	-0.319644
ENSMUSG00000022863	-0.263023	0.170125	-0.417666	-0.446221	0.466824	-0.127906
ENSMUSG00000022864	-0.060849	0.455380	0.077911	0.228919	0.320360	0.175480
ENSMUSG00000022865	-1.634775	-0.586797	-0.161081	0.629854	-0.423732	0.408406
ENSMUSG00000022867	0.106736	0.103917	0.067472	0.280453	0.326639	0.565281
ENSMUSG00000022871	0.081736	-0.080006	0.205874	0.147497	0.621741	0.555868
ENSMUSG00000022876	0.043132	0.000182	-0.091464	-0.390180	0.108274	0.037199
ENSMUSG00000022878	-0.071131	0.037266	-0.120712	0.314889	0.019189	0.272939
ENSMUSG00000022881	0.135754	0.493954	0.262550	-0.192667	0.280633	-0.248868
ENSMUSG00000022883	-0.330291	0.233762	-0.071041	0.456966	0.037990	0.450304
