#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000000489	0.545829	0.516461	1.159526	0.200512	0.997150	0.494056
ENSMUSG00000000530	-0.420263	0.405637	0.116114	-0.933947	0.014580	-0.132040
ENSMUSG00000000531	-0.241027	0.064782	-0.120053	-0.026096	0.097810	-0.362026
ENSMUSG00000000532	0.022556	-0.069514	0.114504	0.001965	0.332342	0.141807
ENSMUSG00000000538	0.040201	-0.034682	-0.058506	-0.058382	-0.088654	-0.188301
ENSMUSG00000000544	-0.794891	-0.032344	-0.395103	-0.120313	-0.184419	-0.572174
ENSMUSG00000000552	0.302455	0.213326	0.323241	0.321624	0.417131	0.153541
ENSMUSG00000000555	0.128327	0.992653	1.102471	1.534495	1.946167	2.017788
ENSMUSG00000000562	-0.029578	-0.103753	-0.203759	-0.120143	-0.029401	-0.017388
ENSMUSG00000000568	0.661768	-0.147613	-0.197209	-0.630853	-0.128937	-0.365210
ENSMUSG00000000579	0.906636	-0.168291	0.140985	-0.372593	0.085823	0.118259
ENSMUSG00000000581	0.333177	0.355307	0.193983	-0.475234	-0.106144	-0.305866
ENSMUSG00000000594	-0.038592	-0.184562	0.175271	0.335922	-0.067447	0.427104
ENSMUSG00000000600	0.891606	0.425427	0.419515	-0.082055	-0.007347	0.020695
ENSMUSG00000000605	0.428320	-0.136723	-0.459722	0.241729	-0.237841	-0.262674
ENSMUSG00000000627	-0.184759	-0.092441	0.189962	-0.033369	-0.007201	-0.011336
ENSMUSG00000000628	0.167328	-0.025080	0.061791	0.251091	0.037976	-0.061398
ENSMUSG00000000631	0.144796	0.187746	-0.026507	0.189857	0.028508	-0.247810
ENSMUSG00000000632	-0.695563	0.246899	-0.330073	0.257613	-0.070182	-0.205001
ENSMUSG00000000673	-0.090224	-0.217689	-0.140973	0.023432	-0.316098	-0.029520
ENSMUSG00000000682	-0.059463	-0.208791	-0.202480	-0.357749	-0.291601	-0.403173
ENSMUSG00000000686	0.167618	-0.365282	0.180973	-0.015027	0.127331	-0.158573
ENSMUSG00000000690	1.164041	0.849578	0.641776	0.300524	1.739720	1.327359
ENSMUSG00000000693	-0.435720	-0.210639	-0.187856	-0.205790	-0.190561	-0.175445
ENSMUSG00000000706	0.165165	-0.773168	-0.957783	-0.535166	-0.960660	-0.943606
ENSMUSG00000000708	0.191702	0.279348	0.201882	0.057224	-0.195552	0.080541
ENSMUSG00000000711	0.453604	-0.430275	-0.202327	-0.452391	-0.074918	-0.098244
ENSMUSG00000000731	-0.613973	-0.410673	-0.189448	0.196344	-0.095900	0.468404
ENSMUSG00000000732	-0.026377	-0.317064	0.044802	0.237060	0.050908	-0.194908
ENSMUSG00000000738	0.462382	0.302328	0.271524	-0.163552	0.090386	-0.161900
ENSMUSG00000000739	0.009924	0.089170	-0.025986	0.106917	0.340944	0.243738
ENSMUSG00000000740	0.208162	-0.431907	-0.313582	-0.256939	-0.158938	-0.468118
ENSMUSG00000000743	0.578144	0.391513	0.352565	-0.410804	0.227292	0.076050
ENSMUSG00000000751	0.133827	0.060790	-0.103110	-0.180510	-0.078695	0.246283
ENSMUSG00000000753	0.312126	0.116318	0.401722	0.166092	0.064394	0.009855
ENSMUSG00000000759	0.364031	0.651367	0.266252	0.115446	0.356172	0.112304
ENSMUSG00000000766	-0.955983	0.413260	0.550298	2.000155	1.602456	2.467505
ENSMUSG00000000776	0.186248	0.406539	0.397500	-0.191847	0.201763	-0.401479
ENSMUSG00000000782	-0.010790	-0.077261	-0.055576	-0.308565	-0.210535	-0.336478
ENSMUSG00000000787	0.250998	0.062616	-0.157352	-0.459475	-0.460490	-0.422021
ENSMUSG00000000791	0.249766	0.335971	0.284469	-0.007638	-0.103979	-0.183745
ENSMUSG00000000792	0.076167	0.359819	0.597291	-0.086257	0.221450	-0.152092
ENSMUSG00000000794	-0.397823	0.180923	-0.360293	0.499124	-0.013425	0.362567
ENSMUSG00000000804	0.455937	0.064475	0.286917	-0.113076	-0.052492	-0.311011
ENSMUSG00000000811	-0.026127	0.069996	0.077327	0.061708	0.187213	-0.050161
ENSMUSG00000000823	1.066996	0.504087	0.473663	1.689510	0.145786	0.949977
ENSMUSG00000000826	-0.068158	-0.192420	0.030612	-0.471021	0.169333	-0.384373
ENSMUSG00000000827	-0.601845	-0.610442	-0.260388	-0.424176	-0.401633	-1.038738
ENSMUSG00000000838	0.880667	0.102629	0.314998	-0.334240	0.203054	-0.105552
ENSMUSG00000000861	0.303158	0.200279	0.280294	-0.196290	-0.286105	-0.496159
ENSMUSG00000000876	-0.119473	-0.530397	-0.429049	-0.314986	0.203383	-0.165692
ENSMUSG00000000881	0.791217	0.916650	0.764607	0.730240	0.570183	0.404162
ENSMUSG00000000884	0.418914	-0.100938	0.161147	0.096582	0.574287	0.073440
ENSMUSG00000000901	0.339555	-0.114706	0.420299	-0.368291	0.090695	-0.029477
ENSMUSG00000000903	0.138031	-0.247559	-0.065460	0.071980	-0.112471	-0.204958
ENSMUSG00000000915	0.288111	0.118075	0.612270	0.558518	1.538987	1.068601
ENSMUSG00000000916	0.274876	0.339078	0.138612	-0.196447	0.156306	-0.241885
ENSMUSG00000000934	-2.882176	0.354102	-1.092208	-0.305172	-1.001758	-0.397499
ENSMUSG00000000957	-0.025328	-0.013972	-0.102273	-0.341240	-0.213607	-0.059941
ENSMUSG00000000958	-0.003551	-0.136367	-0.108599	0.027977	-0.362943	-0.188328
ENSMUSG00000000959	-0.410295	0.121671	0.222505	0.009642	0.193608	-0.021728
ENSMUSG00000000976	0.045850	-0.220612	-0.628886	-0.206940	-0.375488	-0.415580
ENSMUSG00000000982	0.142153	0.457267	0.356250	0.521298	1.013325	0.602734
ENSMUSG00000001014	0.263663	-0.263827	-0.050609	-0.253505	0.087181	-0.139837
ENSMUSG00000001016	0.220064	-0.364982	-0.234252	-0.487863	-0.222379	-0.148965
ENSMUSG00000001017	0.479018	0.706551	1.369856	0.635327	0.608322	0.019668
ENSMUSG00000001018	0.238102	-0.299217	-0.243347	-0.075174	-0.137006	-0.174143
ENSMUSG00000001021	-0.007302	-0.109341	0.041382	0.072720	-0.022326	-0.545886
ENSMUSG00000001025	-0.242930	0.243428	-0.136082	0.325805	-0.055055	-0.040544
ENSMUSG00000001027	-0.636363	-0.337622	-0.356687	-0.392946	-1.250438	-0.655152
ENSMUSG00000001029	-0.117007	-0.460268	-0.193323	0.338149	-0.270731	-0.003397
ENSMUSG00000001034	0.143714	-0.059738	0.267853	0.186312	-0.036028	-0.282336
ENSMUSG00000001036	0.208825	0.063022	-1.018684	-0.243369	0.013320	-0.281024
ENSMUSG00000001039	-0.060733	0.610337	0.312515	0.415998	0.271064	0.211303
ENSMUSG00000001052	0.817398	-0.002763	1.148501	0.278449	0.874286	0.197974
ENSMUSG00000001053	0.738928	0.635023	0.714088	0.281477	0.500744	0.460486
ENSMUSG00000001054	0.052000	-0.223729	-0.191017	-0.210151	-0.193560	-0.210947
ENSMUSG00000001056	0.001696	-0.402168	-0.563679	-0.343390	-0.277113	-0.496298
ENSMUSG00000001062	0.673745	0.308972	0.982299	0.036904	0.387384	0.052446
ENSMUSG00000001065	0.673745	0.308972	0.982299	0.036904	0.387384	0.052446
ENSMUSG00000001082	0.172175	0.909250	-0.132437	-0.111062	0.021285	-0.004444
ENSMUSG00000001089	-0.151481	0.050099	0.126428	0.173530	0.030711	0.020015
ENSMUSG00000001095	-0.640378	0.018087	-0.309750	0.251400	0.078334	-0.009232
ENSMUSG00000001098	0.136123	0.803487	0.339288	1.618761	1.325520	1.437716
ENSMUSG00000001100	0.464209	0.035303	0.090241	0.394727	0.279042	0.524606
ENSMUSG00000001105	0.284902	-0.491237	0.047766	-0.397010	0.143834	0.087334
ENSMUSG00000001119	-0.472830	0.040113	-0.057545	-0.254678	0.040466	-0.151397
ENSMUSG00000001120	-0.420075	0.440103	-0.248930	0.617093	0.272284	0.185881
ENSMUSG00000001123	-0.183617	0.254019	-0.168618	-0.098263	-0.125750	0.016206
ENSMUSG00000001127	-0.320522	-0.038141	-0.504402	-0.188812	-0.212361	-0.353703
ENSMUSG00000001128	-0.458233	-0.689579	-0.719098	-0.408178	-0.772253	-0.840078
ENSMUSG00000001134	-0.106284	-0.456855	-0.147649	-0.184600	0.204604	-0.333054
ENSMUSG00000001138	0.546220	-0.323300	0.089017	-0.123845	-0.024152	0.196117
ENSMUSG00000001143	0.277765	-0.241163	-0.206892	-0.518819	-0.254160	-0.296933
ENSMUSG00000001150	-0.244262	-0.038771	-0.294695	-0.285188	-0.114483	-0.327218
ENSMUSG00000001156	-0.033696	-0.362872	-0.307653	-0.204833	-0.223970	0.202433
ENSMUSG00000001157	0.115378	-0.037441	-0.016553	-0.164676	-0.104183	-0.063997
ENSMUSG00000001158	-0.083183	-0.201115	0.097646	-0.115504	0.058737	0.071183
ENSMUSG00000001166	-0.158386	-0.139958	-0.192717	-0.351144	-0.049269	-0.317987
ENSMUSG00000001168	-0.483184	0.074256	-0.775408	-0.135524	-0.699475	-0.208066
ENSMUSG00000001173	0.376723	0.175305	0.098656	0.352814	0.005949	-0.152547
ENSMUSG00000001175	0.413943	-0.009540	0.054878	0.009118	-0.123492	-0.181957
ENSMUSG00000001211	1.605837	0.332152	1.952745	0.294144	1.527371	0.951396
ENSMUSG00000001225	-0.801827	-0.005348	-0.879931	-0.449416	-0.989291	-0.312190
ENSMUSG00000001227	0.058069	-0.054004	-0.476624	-0.198742	-0.271298	-0.438043
ENSMUSG00000001228	0.143136	-0.574237	-0.691484	-0.703842	-0.886306	-0.953261
ENSMUSG00000001229	0.098567	-0.233003	-0.337876	-0.386428	-0.235030	-0.176963
ENSMUSG00000001240	0.638273	-0.104565	-0.513127	-0.520358	-0.471854	-0.527786
ENSMUSG00000001247	0.996404	0.478432	1.046475	0.191372	0.077342	0.164967
ENSMUSG00000001248	0.720412	0.739959	1.138113	-0.057074	0.638506	0.273447
ENSMUSG00000001249	0.026672	-0.239138	-0.409233	-0.127558	-0.047383	-0.354553
ENSMUSG00000001270	-0.186289	-0.262316	-0.591046	-0.416712	-0.663634	-0.890961
ENSMUSG00000001280	0.062878	0.709267	0.320235	0.878633	0.430760	0.854053
ENSMUSG00000001281	1.054009	0.968618	0.526140	0.244389	0.587068	0.648953
ENSMUSG00000001285	0.044910	0.553089	0.495156	0.465485	0.545877	0.407029
ENSMUSG00000001288	0.580755	0.070766	0.185942	0.204261	0.095534	-0.078861
ENSMUSG00000001289	0.753461	0.873408	0.838047	0.406621	0.642123	0.246361
ENSMUSG00000001305	-0.084140	-0.073460	-0.173970	-0.408909	-0.185318	-0.172525
ENSMUSG00000001313	-0.385053	-0.380336	-0.202363	-0.406776	-0.932034	-1.267027
ENSMUSG00000001323	0.013407	0.164076	-0.218892	-0.260819	-0.019466	0.030391
ENSMUSG00000001333	-1.344725	-0.169900	-0.163176	-0.137625	-0.736213	-0.532257
ENSMUSG00000001349	0.183661	-0.015773	-0.482858	-0.296154	-0.523691	-0.641356
ENSMUSG00000001366	0.086222	0.097774	-0.004733	0.093488	0.334060	0.101567
ENSMUSG00000001376	-0.568147	1.125911	0.439498	1.390143	1.185487	1.340884
ENSMUSG00000001380	-0.163913	0.036289	-0.138587	-0.285296	-0.414659	-0.775954
ENSMUSG00000001383	-0.236353	-0.323009	-0.007816	-0.349765	0.108624	0.095191
ENSMUSG00000001403	0.225835	-0.257537	-0.338351	-0.896982	-0.376556	-0.508064
ENSMUSG00000001415	-0.058089	-0.214850	-0.074592	-0.420246	-0.069954	-0.315580
ENSMUSG00000001418	0.658690	-0.326776	0.054276	0.234834	0.004442	0.385780
ENSMUSG00000001419	0.296690	-0.077555	-0.050655	-0.142560	0.019822	-0.004518
ENSMUSG00000001420	0.300300	-0.270813	-0.010158	-0.092706	-0.032756	0.035100
ENSMUSG00000001424	0.101093	0.178709	1.387937	0.503400	0.581049	1.063397
ENSMUSG00000001435	0.005029	0.165926	-0.030789	0.138599	0.054415	-0.122773
ENSMUSG00000001436	0.196296	0.183045	0.033164	-0.092438	0.101159	-0.096090
ENSMUSG00000001440	0.080821	0.110023	-0.127083	-0.028170	-0.232304	-0.140140
ENSMUSG00000001441	-1.082870	-0.177026	-0.568951	-0.544235	-0.414171	-0.474103
ENSMUSG00000001444	-0.367098	0.002243	-0.334928	-0.093867	-0.100837	-0.078158
ENSMUSG00000001445	0.728629	-0.056420	-0.170942	-0.381386	-0.068052	-0.544411
ENSMUSG00000001467	-0.385250	-0.795540	-1.259485	-0.085220	-0.766374	-0.301600
ENSMUSG00000001472	0.193988	-0.088273	-0.176085	-0.164260	-0.223905	-0.278811
ENSMUSG00000001473	0.292735	-0.068406	-0.283031	-0.389610	0.452022	-0.362183
ENSMUSG00000001482	0.197036	0.359373	0.067791	-0.409763	-0.167641	-0.382247
ENSMUSG00000001493	-0.037137	-0.095670	-0.086821	-0.352505	-0.168956	-0.187789
ENSMUSG00000001494	0.176056	0.170359	-0.256465	-0.223222	-0.539158	-0.182671
ENSMUSG00000001496	-0.101843	0.118508	0.162439	0.004676	0.336736	-0.238792
ENSMUSG00000001506	-0.155443	0.281291	-0.128586	-0.184237	-0.105866	-0.212400
ENSMUSG00000001507	0.276891	-0.116817	0.081229	0.122096	0.129605	0.263114
ENSMUSG00000001508	0.140643	0.348136	-0.070971	0.150783	0.142151	0.055040
ENSMUSG00000001510	-0.374910	0.355473	0.051906	-0.098374	-0.296013	-0.267775
ENSMUSG00000001517	1.018196	0.401605	1.027527	-0.077556	0.028241	0.538048
ENSMUSG00000001518	-0.326055	0.142362	-0.162760	-0.286589	-0.037700	-0.192889
ENSMUSG00000001520	-0.326055	0.142362	-0.162760	-0.286589	-0.037700	-0.192889
