#geneID	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
ENSMUSG00000016493	-0.029257	0.078636	-0.446400	-0.765202	0.407098	0.563126
ENSMUSG00000016495	-0.106332	0.117876	0.130286	0.982705	1.136357	1.898399
ENSMUSG00000016496	-0.947002	-0.802155	1.523826	0.197854	0.184950	0.194274
ENSMUSG00000016503	0.348958	0.378482	0.076500	-0.153543	-0.405259	-0.132882
ENSMUSG00000016510	0.107568	0.373787	0.420798	0.165445	0.290008	0.969316
ENSMUSG00000016520	-0.252663	-0.834646	-0.147210	0.552456	1.151111	0.960388
ENSMUSG00000016526	0.468345	0.288024	0.682703	0.893887	0.737296	0.640996
ENSMUSG00000016528	0.387759	-0.122132	-0.287798	-0.269279	0.289811	0.233831
ENSMUSG00000016534	0.174116	-0.200255	0.262085	0.380388	0.990144	0.863804
ENSMUSG00000016541	-0.034499	-0.091475	0.061946	0.399020	0.305963	0.170796
ENSMUSG00000016552	0.029562	-0.126308	-0.383268	-0.697967	-0.803130	-1.175352
ENSMUSG00000016554	-0.005318	-0.058883	-0.139738	-0.518186	-0.406881	-0.377831
ENSMUSG00000016559	-0.053216	0.095015	0.754140	-0.012704	0.255261	0.881814
ENSMUSG00000016619	0.159086	0.136179	0.210162	-0.167257	-0.045971	-0.130932
ENSMUSG00000016624	-0.346618	-0.430710	-0.329934	0.002236	0.131006	-0.272856
ENSMUSG00000016637	-0.286218	-0.371964	-0.315963	0.288294	-0.344474	-1.124520
ENSMUSG00000016664	-0.024501	-0.004462	0.235397	-0.137736	-0.239010	-0.461166
ENSMUSG00000016756	0.149839	0.476559	0.738711	1.087682	1.298376	1.602597
ENSMUSG00000016757	-0.126175	-0.330590	-0.607826	-0.415919	-0.271931	-0.612077
ENSMUSG00000016831	-0.175170	-0.282687	-0.198314	0.204644	0.335841	0.222685
ENSMUSG00000016833	-0.281608	-0.001276	-0.473950	0.187903	-0.590598	-0.683098
ENSMUSG00000016921	0.085929	0.058188	0.216488	-0.233145	-0.115717	-0.135558
ENSMUSG00000016933	-0.357086	-0.332483	-0.802719	-0.951151	0.226077	0.759427
ENSMUSG00000016940	-0.076357	0.096508	-0.175480	0.243429	0.207584	0.759870
ENSMUSG00000016946	0.012537	0.036799	0.276323	0.322133	0.286600	-0.001044
ENSMUSG00000016984	-0.079977	-0.173185	0.128106	-0.585865	-0.736646	-0.990547
ENSMUSG00000017002	-0.958875	0.221908	0.994645	2.322469	2.473907	2.131120
ENSMUSG00000017007	1.227926	2.537936	3.437388	4.396370	3.797579	3.917735
ENSMUSG00000017009	0.199428	0.637034	1.531900	0.761973	1.209534	1.354061
ENSMUSG00000017057	-0.783600	-1.289425	-1.329848	-0.589439	-1.159331	-2.074286
ENSMUSG00000017119	-0.120055	-0.078160	0.359717	0.685747	1.077837	1.486589
ENSMUSG00000017132	-0.101786	0.242088	0.558984	0.829328	1.254841	1.570679
ENSMUSG00000017146	0.257700	-0.116819	0.109852	-0.155133	-0.296072	-0.560162
ENSMUSG00000017176	0.112549	0.280578	0.236564	0.164473	-0.165829	-0.233254
ENSMUSG00000017188	-0.087513	-0.183949	-0.402307	-0.147449	-0.224479	-0.506251
ENSMUSG00000017195	-0.266857	-1.006815	-0.262104	-0.666702	-0.261157	-0.531503
ENSMUSG00000017210	-0.069782	0.034531	0.017631	0.371213	0.645849	0.610572
ENSMUSG00000017221	-0.217048	-0.110062	-0.112399	-0.533866	-0.825941	-1.081004
ENSMUSG00000017264	0.087999	-0.004336	0.030798	-0.250312	-0.458216	-0.355684
ENSMUSG00000017286	-0.054783	0.142812	-0.057081	-0.643715	-0.505464	-0.138538
ENSMUSG00000017288	-0.117493	0.016582	-0.250934	-0.063653	-0.170444	0.273090
ENSMUSG00000017291	0.285588	0.246473	0.275464	-0.104917	0.220720	0.484748
ENSMUSG00000017299	0.075801	0.383703	0.336332	0.341233	0.321862	0.659696
ENSMUSG00000017307	-0.286061	-0.102328	-0.229758	0.572379	0.228620	0.267469
ENSMUSG00000017376	0.052498	-0.027110	0.125499	0.691204	0.272328	0.354781
ENSMUSG00000017386	0.261346	0.311525	-0.133445	-0.322982	-0.038132	-0.144991
ENSMUSG00000017390	0.005578	0.588148	-0.175642	0.284695	-0.605384	-1.105226
ENSMUSG00000017404	-0.056866	0.102566	0.123503	-0.429573	-0.223714	0.374874
ENSMUSG00000017405	0.105778	0.364516	0.212200	0.716157	0.571579	0.376252
ENSMUSG00000017418	0.314986	0.564290	-0.135482	0.115682	0.547744	0.715838
ENSMUSG00000017421	-0.198991	-0.030020	-0.222431	0.327384	-0.051305	-0.217904
ENSMUSG00000017428	-0.135067	-0.044361	-0.080297	-0.324789	-0.687449	-0.641539
ENSMUSG00000017446	-1.394625	-0.971223	-1.011785	0.139016	-1.332180	-0.760406
ENSMUSG00000017453	-0.399207	-0.160894	-0.433378	-0.346720	-0.575463	-0.598633
ENSMUSG00000017478	-0.252928	-0.187193	-0.165832	-0.294527	-0.432050	-0.449636
ENSMUSG00000017485	-0.165122	-0.140604	0.634776	0.524005	1.253856	1.678884
ENSMUSG00000017493	3.392984	2.765573	1.052577	-0.877325	-1.762015	-1.354189
ENSMUSG00000017499	-0.022086	0.206893	0.156431	-0.471427	-0.903603	-1.663267
ENSMUSG00000017548	0.095070	-0.165659	0.155119	-0.284226	0.171732	-0.026638
ENSMUSG00000017550	-0.028814	-0.097192	0.085005	-0.232685	-0.444596	-0.940839
ENSMUSG00000017561	-0.119622	0.160317	0.235360	0.304823	0.373904	0.607268
ENSMUSG00000017615	0.646937	0.564995	0.265342	0.841810	0.968536	0.540373
ENSMUSG00000017631	0.457961	-0.364167	-0.381265	-0.615349	0.083572	0.238569
ENSMUSG00000017652	0.219395	-0.199760	-0.454934	0.826334	-0.409150	0.828102
ENSMUSG00000017664	-0.314272	-0.290385	-0.514901	-0.611088	-1.391318	-1.578573
ENSMUSG00000017670	-0.042186	0.191108	0.490138	0.417836	0.409492	0.067553
ENSMUSG00000017677	0.080483	-0.032689	0.186335	0.285762	0.761260	0.548344
ENSMUSG00000017679	0.042997	0.337540	0.772519	0.433018	0.642817	0.483166
ENSMUSG00000017686	-0.069201	-0.208866	-0.573105	-0.500422	-0.549602	-0.942259
ENSMUSG00000017697	-0.630446	-0.593633	-0.354633	-0.334205	-0.664225	-0.550388
ENSMUSG00000017707	-0.241355	0.038239	0.573897	1.645361	2.247003	2.058473
ENSMUSG00000017715	-0.071903	0.131856	0.026850	-0.336499	-0.515401	-0.507113
ENSMUSG00000017716	0.035052	0.021599	-0.128129	0.011890	-0.349759	-0.691507
ENSMUSG00000017718	-0.499107	-0.081760	0.315535	0.152280	0.532855	0.724628
ENSMUSG00000017721	-0.076128	0.212333	0.329451	0.878624	0.308796	-0.242006
ENSMUSG00000017724	-0.184665	-0.050340	-0.123946	-1.853187	-4.086093	-4.259850
ENSMUSG00000017734	-0.260286	1.713073	0.315090	1.546101	0.016134	0.482183
ENSMUSG00000017737	-0.954031	-1.394448	0.011838	-1.194436	-0.494276	-1.809451
ENSMUSG00000017747	-0.002868	0.444759	0.518515	1.412581	1.265647	1.343482
ENSMUSG00000017754	0.961432	1.038663	0.347238	2.294646	1.454493	2.942178
ENSMUSG00000017756	0.062797	0.084039	-0.467663	0.097531	0.221178	0.289946
ENSMUSG00000017760	0.011108	0.057513	0.008943	0.463001	0.979735	1.118037
ENSMUSG00000017764	0.109227	-0.200389	0.060481	-0.356312	-0.286072	-0.654145
ENSMUSG00000017765	0.079778	0.184427	0.271995	-0.285703	-0.158883	0.297231
ENSMUSG00000017774	-0.064800	0.114501	0.839825	0.989111	0.819591	0.493975
ENSMUSG00000017776	0.184972	-0.210447	0.045490	-0.024726	-0.028537	-0.248784
ENSMUSG00000017778	-0.354583	0.157620	-0.389004	0.042946	-0.368546	-0.528115
ENSMUSG00000017781	0.052773	0.116264	0.169649	0.012434	-0.220833	-0.209492
ENSMUSG00000017801	-0.236105	-0.020710	-0.202377	-0.417913	0.033079	0.382244
ENSMUSG00000017802	-0.179058	-0.114208	0.342639	0.633784	1.097633	0.985565
ENSMUSG00000017830	-0.194663	-0.244071	0.033330	-0.584742	-0.343449	0.090166
ENSMUSG00000017831	-0.136945	-0.063254	0.221985	-0.015738	0.133230	0.338948
ENSMUSG00000017837	0.099066	0.266378	0.732215	0.817649	0.998008	1.224921
ENSMUSG00000017843	0.079093	-0.140882	0.327495	0.213103	0.799532	1.004666
ENSMUSG00000017858	0.065465	0.024911	-0.034922	0.553834	0.437807	0.658785
ENSMUSG00000017861	-0.089581	-0.428282	-0.655026	-0.979824	-1.377468	-1.907101
ENSMUSG00000017929	-0.065476	0.185234	0.176782	-0.295563	-0.487047	-0.434018
ENSMUSG00000017999	-0.135530	-0.187202	-0.383814	-0.789073	-1.173538	-1.215618
ENSMUSG00000018001	0.172314	0.523078	0.781777	0.726343	2.382969	2.363930
ENSMUSG00000018008	0.511685	-0.410352	0.013060	0.027950	-0.261614	-0.240013
ENSMUSG00000018012	-0.068837	-0.179349	-0.991745	-0.688166	-0.843468	-0.306623
ENSMUSG00000018040	0.075152	-0.071721	-0.355415	-0.719037	-0.755201	-0.837337
ENSMUSG00000018042	0.058822	0.284823	0.663162	0.645783	0.473569	0.067630
ENSMUSG00000018068	0.083039	-0.224840	-0.517774	-0.540700	-0.543484	-0.703166
ENSMUSG00000018076	-0.857573	-1.730384	-0.798353	-1.120611	-0.057750	-0.339252
ENSMUSG00000018102	0.314118	0.071485	-0.819505	-0.996748	0.332709	0.907724
ENSMUSG00000018126	-0.329440	-0.498515	-2.308117	-0.786303	-1.162874	-0.676861
ENSMUSG00000018143	-0.444969	-0.701140	-0.240681	0.244091	0.888806	0.932323
ENSMUSG00000018160	0.004986	-0.303908	-0.186806	-0.710662	-0.646624	-0.352986
ENSMUSG00000018166	-0.045229	0.123651	0.095855	-0.060714	0.068259	-0.154220
ENSMUSG00000018167	-0.031078	-0.593289	-0.673005	-0.161076	0.005507	0.096493
ENSMUSG00000018168	2.220002	0.493853	0.177167	1.342878	-1.425473	-1.585278
ENSMUSG00000018169	-0.043513	-0.183641	-0.442544	-0.378243	-0.637600	-0.509649
ENSMUSG00000018171	-0.499970	-0.036394	-0.292137	0.912306	0.129280	0.397554
ENSMUSG00000018189	-0.261828	-0.145260	-0.692631	-0.485540	-1.556703	-2.121382
ENSMUSG00000018196	0.277610	0.408650	0.166100	0.433914	-0.005384	0.289459
ENSMUSG00000018199	0.419620	0.173323	-0.154544	-0.234112	-0.233453	-0.157044
ENSMUSG00000018209	0.124102	0.037692	0.585270	0.589992	1.722048	1.852727
ENSMUSG00000018238	-0.299694	-1.612819	-1.156796	-0.910319	1.018192	0.343765
ENSMUSG00000018239	-0.084294	-0.318304	-0.297895	-0.966675	-0.787423	-0.544269
ENSMUSG00000018286	0.068214	0.029087	-0.108629	0.094319	-0.117226	-0.335578
ENSMUSG00000018287	0.035859	0.307150	0.075012	-0.668338	-0.788193	-0.173637
ENSMUSG00000018293	-0.149266	-0.224783	0.202842	0.200664	-0.301104	-0.647904
ENSMUSG00000018322	-0.155779	0.123388	-0.044868	0.379759	0.086919	0.131805
ENSMUSG00000018326	0.113100	0.154369	0.055073	-0.000117	0.047995	0.103018
ENSMUSG00000018334	-0.486327	-0.279918	-0.503265	-0.735762	-0.676846	-0.764839
ENSMUSG00000018340	1.315584	1.250792	0.895229	1.355504	2.094440	3.098326
ENSMUSG00000018347	-0.094590	-0.260783	0.260691	0.398485	0.182772	0.673611
ENSMUSG00000018362	-0.039220	-0.261847	0.341255	-0.206282	0.121102	-0.455185
ENSMUSG00000018363	0.377533	0.358857	0.429193	0.552975	0.410615	0.427023
ENSMUSG00000018372	-0.069828	0.510898	0.671860	0.764404	0.795002	1.260219
ENSMUSG00000018377	0.166656	-0.063946	0.242267	0.440625	1.240639	1.210453
ENSMUSG00000018378	1.505288	1.599078	0.493069	-0.880609	-0.683453	-0.151216
ENSMUSG00000018379	-0.021132	-0.009975	0.188441	-0.365559	-0.579771	-0.670863
ENSMUSG00000018381	0.377842	0.917546	1.118539	1.115487	0.904786	0.952351
ENSMUSG00000018395	0.611809	-0.443252	-0.663436	-2.112438	-2.996815	0.010876
ENSMUSG00000018398	0.745921	0.324848	-0.238683	-0.851950	-0.526945	-0.119047
ENSMUSG00000018401	-0.068338	-0.286676	-0.409892	-0.133802	0.342091	-0.028421
ENSMUSG00000018405	-0.315091	-0.337220	-0.424103	-0.943409	-1.424650	-1.587735
ENSMUSG00000018411	0.819027	1.423419	1.086053	2.231000	1.646459	1.501199
ENSMUSG00000018412	-0.211734	-0.201971	-0.039896	0.589852	0.786044	0.626805
ENSMUSG00000018415	0.098525	-0.030859	-0.012093	-0.013975	-0.317681	-0.523039
ENSMUSG00000018425	-1.082081	-0.565024	0.246052	0.465393	0.652771	0.915537
ENSMUSG00000018427	-1.040228	-0.838542	-0.264820	1.210245	2.028516	2.560835
ENSMUSG00000018428	0.012513	-0.728899	-1.189908	-1.823708	-2.627742	-2.873311
ENSMUSG00000018433	-0.109663	-0.265625	-0.575112	-1.112123	-1.302342	-1.161139
ENSMUSG00000018442	0.028210	-0.057555	-0.490165	-0.029219	-0.333373	-0.433545
ENSMUSG00000018446	-0.005473	-0.111576	-0.499734	-0.567694	-1.388683	-1.774997
ENSMUSG00000018449	-0.132036	-0.093498	0.051366	0.397924	0.550176	0.778483
ENSMUSG00000018470	-1.088526	-0.586471	-0.103455	-0.363744	0.738769	-0.355443
ENSMUSG00000018474	0.247072	0.714205	1.133827	1.238114	1.477012	1.798262
ENSMUSG00000018476	-0.081115	-0.328302	0.160168	0.622557	1.150942	1.246103
ENSMUSG00000018481	0.038238	-0.586906	-0.186966	-0.356148	0.098609	0.032665
ENSMUSG00000018501	-0.096133	-0.046265	-0.236802	-0.195699	-0.462255	-0.301404
ENSMUSG00000018507	0.019666	0.661321	1.307133	1.253709	1.365933	1.330809
ENSMUSG00000018509	0.230317	0.651777	0.199833	0.603169	0.506625	0.640476
ENSMUSG00000018537	0.186663	-0.028814	-0.218714	-0.364722	-1.194426	-1.608165
ENSMUSG00000018541	0.029651	0.335369	0.624864	0.499203	0.599465	0.858273
ENSMUSG00000018543	-0.078780	-0.246863	-1.689312	-1.373298	-1.460178	-0.625177
ENSMUSG00000018547	0.127245	-0.172288	0.001249	-0.461991	-0.439178	-0.499390
ENSMUSG00000018548	-0.035963	-0.154639	-0.174949	-0.735985	-0.760365	-1.216911
ENSMUSG00000018554	-0.729424	0.404058	0.414629	2.411094	3.846372	4.544109
ENSMUSG00000018559	0.085245	0.080590	-0.134174	0.396118	0.235835	0.093879
ENSMUSG00000018565	-0.156804	-0.079761	-0.485733	-0.639201	-0.832816	-0.866805
ENSMUSG00000018567	-0.013700	0.123303	0.313775	0.643703	0.801255	1.478028
ENSMUSG00000018570	0.172819	0.390745	0.767975	1.592384	2.018479	1.988277
ENSMUSG00000018572	0.124861	0.305013	0.221113	-0.288266	0.089131	0.339395
ENSMUSG00000018574	0.204882	0.067948	0.407948	-0.112449	0.318224	0.747779
ENSMUSG00000018581	1.303386	1.367722	1.190514	1.054270	1.889166	2.377837
ENSMUSG00000018583	0.135118	-0.275659	-0.238161	-0.925753	-1.044028	-1.333724
ENSMUSG00000018585	-0.060124	-0.012567	-0.220077	0.274765	0.121340	-0.019246
ENSMUSG00000018593	4.616953	4.790684	3.589694	0.178744	-0.196597	-0.005694
ENSMUSG00000018599	0.211088	-0.053988	0.707560	0.694888	1.178580	1.569389
ENSMUSG00000018648	0.653338	0.968097	0.716258	1.859656	0.950463	0.786819
ENSMUSG00000018651	-0.177847	0.007414	-0.465099	-0.575497	-1.189568	-1.660055
ENSMUSG00000018654	5.190809	5.385035	6.263957	6.118616	6.202841	6.095047
ENSMUSG00000018659	-0.405827	-0.549507	-0.573939	-0.402970	-0.497151	-0.748083
ENSMUSG00000018661	-0.085763	0.043797	0.434992	0.334290	0.407556	0.512907
ENSMUSG00000018666	-0.136059	-0.026218	0.161416	-0.059467	-0.173812	-0.108589
ENSMUSG00000018669	-0.286203	-0.143335	0.158899	0.115594	0.162078	0.294402
ENSMUSG00000018672	0.509759	1.612621	1.537060	1.602307	1.134438	2.648892
ENSMUSG00000018677	0.233374	0.206091	0.149086	-0.013502	-0.471282	-0.636927
ENSMUSG00000018678	-0.109637	-0.092026	0.417104	-0.119463	0.400566	0.046570
ENSMUSG00000018697	-0.190570	0.091390	-0.718861	-1.131211	-1.819650	-1.613356
ENSMUSG00000018707	0.154560	0.062046	0.338739	0.084141	0.644575	0.728236
ENSMUSG00000018733	-0.201654	-0.055168	-0.058124	-0.709735	-0.782806	-0.953077
ENSMUSG00000018736	-0.087985	-0.125620	-0.246000	-0.034603	0.000125	-0.088681
ENSMUSG00000018740	-0.271104	-0.039048	0.602246	1.309537	2.594028	2.744928
ENSMUSG00000018750	0.420661	2.409271	2.343803	2.140687	2.436028	2.524516
ENSMUSG00000018761	0.163586	0.304302	-0.021192	0.150869	0.090216	0.092874
ENSMUSG00000018765	-0.269676	0.049422	-0.183270	0.002923	-0.470045	-0.279789
ENSMUSG00000018770	0.347100	0.248010	-0.105706	0.440643	-0.473448	-1.112169
ENSMUSG00000018774	0.536952	1.113873	0.337499	0.922413	-0.084730	-0.333525
ENSMUSG00000018796	0.632281	-0.357877	-0.349218	-0.466630	-0.749495	-0.723779
ENSMUSG00000018809	0.306590	0.437820	0.878409	0.753627	0.318173	0.084884
ENSMUSG00000018819	0.249311	0.275898	-0.229293	-0.166373	0.234135	0.822696
ENSMUSG00000018820	-0.263413	-0.138569	0.041472	0.088894	0.390752	0.455695
ENSMUSG00000018821	0.232745	-0.424452	-0.348936	-0.858989	-2.070594	-1.745105
ENSMUSG00000018841	0.046970	-0.069895	0.337395	0.536287	0.483567	0.518667
ENSMUSG00000018846	0.088179	-0.284390	0.486054	-0.567440	0.525239	0.144103
ENSMUSG00000018848	-0.111524	0.066251	-0.200540	-0.480462	-1.053890	-0.960067
ENSMUSG00000018858	-0.139077	0.152550	-0.261724	-0.526386	-0.794813	-0.456619
ENSMUSG00000018861	-0.298148	-0.268094	0.038579	0.100552	0.178120	0.000116
ENSMUSG00000018882	-0.199591	0.015769	-0.405122	-0.513286	-0.771141	-0.642856
ENSMUSG00000018899	-0.588166	0.500648	0.814780	1.099823	1.638939	2.074466
ENSMUSG00000018900	-0.048095	-0.390783	-0.825592	-0.413448	0.020964	-0.102129
ENSMUSG00000018909	0.810643	0.661311	0.759675	0.130814	-0.122043	-0.480238
ENSMUSG00000018921	-0.207652	-0.170689	-0.524687	-0.224814	-0.560688	-0.901257
ENSMUSG00000018923	-0.207662	0.072259	0.262917	0.124982	-0.290070	-0.047497
ENSMUSG00000018931	0.440075	0.242841	0.998360	1.721404	3.255714	3.014203
ENSMUSG00000018932	-0.113729	-0.459399	-0.351213	-0.943704	-1.219993	-1.578276
ENSMUSG00000018965	0.138137	0.150026	-0.044880	0.213558	-0.035600	-0.246939
ENSMUSG00000018974	0.090901	0.055055	0.215373	-0.326098	-0.222379	-0.202156
ENSMUSG00000018983	0.037773	0.564462	0.807490	0.911781	0.875676	0.338837
ENSMUSG00000018986	0.022340	-0.120662	0.446614	-0.327644	-0.435017	-0.949797
ENSMUSG00000018995	-0.417263	-0.733279	-0.747212	-0.660095	-1.280254	-1.796724
ENSMUSG00000018999	0.372699	0.116705	0.151663	0.068532	0.069407	-0.173047
ENSMUSG00000019027	-0.374544	-0.408117	-0.837154	-0.067924	0.165379	0.334065
ENSMUSG00000019039	-0.142405	-0.253308	-0.157535	0.152634	0.126714	-0.067103
ENSMUSG00000019054	0.011012	0.314773	0.176094	0.661952	0.928191	1.311577
ENSMUSG00000019055	-0.235632	0.317622	-0.037385	-0.910543	-0.997312	-0.824442
ENSMUSG00000019066	0.301525	0.397319	0.703830	0.554274	0.420052	0.629632
ENSMUSG00000019080	-0.270129	-0.078427	-0.331280	-0.127613	-0.332309	-0.568557
ENSMUSG00000019082	-0.148445	-0.191669	-0.965924	-1.463832	-2.010140	-2.117337
ENSMUSG00000019087	0.005026	0.309006	0.289988	0.787183	1.159649	0.911851
ENSMUSG00000019088	-0.077215	-0.386289	-1.235096	0.157761	0.204636	0.379538
ENSMUSG00000019122	2.718654	1.897496	-0.662897	0.093000	1.944311	1.704914
ENSMUSG00000019132	0.056894	0.025292	-0.012371	0.078552	0.254006	0.158187
ENSMUSG00000019139	-0.338754	-0.289471	-0.294375	-0.343289	-0.654664	-1.135756
ENSMUSG00000019143	-0.071338	0.204677	-0.021461	0.128866	0.236174	0.186423
ENSMUSG00000019158	0.014956	-0.131185	-0.155752	0.598189	0.485824	0.174130
ENSMUSG00000019173	-0.229252	-0.175583	0.084403	0.291369	0.372042	0.331085
ENSMUSG00000019178	0.230641	0.155417	-0.517321	0.987013	1.074726	0.914284
ENSMUSG00000019179	-0.183033	-0.013403	-0.119788	0.002979	-0.445726	-0.781126
ENSMUSG00000019188	0.040923	0.077678	-0.322686	0.119473	0.298652	0.316388
ENSMUSG00000019189	-0.367973	0.586495	1.179525	0.264710	0.945486	1.062107
ENSMUSG00000019210	-0.408568	-0.173074	-0.136143	-0.012718	0.242727	0.335400
ENSMUSG00000019214	-0.233921	-0.222210	-0.156296	-0.409132	-0.539924	-1.070900
ENSMUSG00000019230	-0.494286	-1.333254	-2.044541	-1.803731	-1.620756	-2.174927
ENSMUSG00000019254	-0.109748	0.113989	-0.267887	-0.170242	-0.347883	-0.300387
ENSMUSG00000019261	-0.157277	-0.211183	-0.305861	-0.132321	-0.171396	-0.402307
ENSMUSG00000019295	0.009144	0.425670	0.337821	0.542057	0.594205	0.327592
ENSMUSG00000019297	-0.247115	-0.083228	-0.469573	-0.676367	-0.728401	-0.778424
ENSMUSG00000019301	0.199131	1.486946	-0.655927	0.777184	1.292242	1.426468
ENSMUSG00000019302	-0.242877	-0.234602	0.008091	0.305961	-0.852223	-0.600752
ENSMUSG00000019303	0.016939	0.312330	0.466678	-0.003066	-0.511681	-0.745744
ENSMUSG00000019320	0.482359	0.206305	0.151385	0.654223	0.737690	0.930733
ENSMUSG00000019326	0.210034	0.532368	0.201531	-0.293356	-1.751629	-1.085168
ENSMUSG00000019338	0.005226	-0.146311	0.596906	0.445155	0.695217	0.706972
ENSMUSG00000019362	-0.226405	0.079915	0.002503	0.011604	-0.068857	0.259378
ENSMUSG00000019370	0.110741	0.001742	0.220107	0.156588	0.326356	0.331489
ENSMUSG00000019373	0.009169	0.148440	0.126254	-0.055678	-0.487978	-0.549078
ENSMUSG00000019428	-0.146622	-0.021150	0.147541	0.198285	0.040077	0.023932
ENSMUSG00000019432	0.052167	0.148507	0.138040	0.085081	-0.270064	-0.491444
ENSMUSG00000019433	0.033299	-0.033552	-0.029683	0.260241	1.044934	1.222249
ENSMUSG00000019437	-0.090071	0.125367	-0.134262	-0.020124	-0.993451	-1.329813
ENSMUSG00000019461	0.296671	0.157667	0.008189	-0.256952	0.617330	0.701614
ENSMUSG00000019467	-0.590820	0.609530	0.704874	2.144334	1.207780	1.106802
ENSMUSG00000019470	-0.298725	-0.015955	-0.222252	-0.049036	-0.016349	-0.104822
ENSMUSG00000019471	-0.006786	0.057132	-0.050728	-0.094647	-0.208379	-0.002095
ENSMUSG00000019487	-0.433788	-0.079384	-0.848350	-0.349092	-0.387201	-0.277548
ENSMUSG00000019494	0.021375	0.441131	0.154368	0.348712	0.030350	-0.116740
ENSMUSG00000019505	0.050276	0.052569	0.500462	-0.161013	0.746268	0.656251
ENSMUSG00000019518	0.043718	0.112303	-0.283398	0.474949	0.476347	0.150386
ENSMUSG00000019528	0.055527	0.639280	0.801969	1.201426	1.405769	1.772339
ENSMUSG00000019539	-1.399389	-1.474105	-0.694488	1.276267	0.973727	0.363132
ENSMUSG00000019564	0.068261	0.086529	0.687213	0.462480	0.499680	0.146871
ENSMUSG00000019578	0.190824	0.374762	0.244191	0.164313	0.452550	0.791354
ENSMUSG00000019579	-0.175916	0.002171	-0.302815	-0.630002	-1.300801	-1.301200
ENSMUSG00000019659	0.163564	0.253759	0.173336	0.150303	0.086292	0.602448
ENSMUSG00000019689	-0.288724	0.037365	0.134363	-0.181698	-0.788294	-1.738365
ENSMUSG00000019699	0.233283	0.047765	-0.034925	0.311455	0.864017	0.555802
ENSMUSG00000019710	-0.026046	-0.227871	-1.151220	-1.581488	-1.637680	-1.124309
ENSMUSG00000019715	-0.227332	-0.105561	-0.194343	-0.270567	-0.461158	-0.652585
ENSMUSG00000019726	-0.166496	0.241728	0.917992	0.425644	1.036333	0.993795
ENSMUSG00000019731	-0.009293	0.126944	0.436406	0.049664	0.315539	-0.239721
ENSMUSG00000019732	-0.479974	-0.564667	-0.455861	-0.281645	-2.315630	-2.767503
ENSMUSG00000019734	0.020755	1.014736	0.242349	0.374271	0.006224	0.907222
ENSMUSG00000019737	0.581758	0.764634	-0.531672	-0.291793	-0.484947	1.001402
ENSMUSG00000019738	-0.074616	0.071352	-0.197969	-0.229870	-0.537474	-0.121475
ENSMUSG00000019756	0.151604	0.262646	-0.609976	0.050122	-1.511242	-0.660538
ENSMUSG00000019761	-0.027767	-0.106439	-0.402949	-0.299610	-0.244453	0.044430
ENSMUSG00000019763	-0.143604	0.136065	-0.094594	-0.078211	-0.688891	-0.639315
ENSMUSG00000019768	0.459233	0.276144	-1.665635	0.368660	0.560243	0.283660
ENSMUSG00000019769	-0.570827	-0.388779	0.455629	0.929730	1.457108	2.078635
ENSMUSG00000019773	0.114929	0.198273	0.492774	0.323185	0.238511	-0.089584
ENSMUSG00000019774	-0.255301	-0.105856	0.033536	-0.051892	-0.221012	-0.118922
ENSMUSG00000019777	0.074737	0.157419	0.230399	-0.331922	-0.800593	-0.559767
ENSMUSG00000019782	0.279886	0.167534	-0.467092	-0.566507	-1.165067	-1.322560
ENSMUSG00000019790	0.081817	-0.079385	0.068663	-0.100049	-0.588981	-0.652043
ENSMUSG00000019791	-0.338673	-0.004422	-0.650579	1.181832	0.115173	0.887152
ENSMUSG00000019792	-0.294226	-0.639534	-1.427345	-1.290121	-1.346021	-1.500854
ENSMUSG00000019794	-0.300847	0.061845	0.157509	0.513366	0.433703	0.829444
ENSMUSG00000019795	-0.064586	0.092555	-0.040954	-0.431814	-0.739521	-0.472684
ENSMUSG00000019797	0.261591	0.151578	-0.751395	-0.859437	-1.324536	-0.630660
ENSMUSG00000019802	-0.132907	0.065511	-0.192580	-0.030459	0.528868	0.946775
ENSMUSG00000019804	0.268584	0.352067	0.192427	0.537048	0.170241	-0.172350
ENSMUSG00000019808	-0.056598	-0.491007	-0.388394	-0.609610	-0.353666	-0.038196
ENSMUSG00000019809	-0.389142	-0.259426	-0.015565	-0.052976	-0.177593	-0.484743
ENSMUSG00000019810	0.100601	0.071822	0.424742	0.566186	0.763136	1.087636
ENSMUSG00000019813	0.218217	0.269650	-0.132302	-0.324483	-0.192802	-0.192584
ENSMUSG00000019814	-0.115229	-0.075205	-0.222236	-0.667085	-1.024162	-1.259589
ENSMUSG00000019818	0.029253	-0.206093	0.624300	0.327725	0.910419	0.223588
ENSMUSG00000019820	-0.074675	-0.410458	-0.829536	-0.088071	0.762559	1.266472
ENSMUSG00000019822	0.070431	-0.076391	-0.377575	-0.207969	0.264930	0.633710
ENSMUSG00000019823	-0.031768	0.003469	0.495672	0.737732	1.184535	1.518768
ENSMUSG00000019826	0.088204	0.256937	0.172686	0.264346	0.436493	1.011304
ENSMUSG00000019837	0.186986	0.194235	0.196821	-0.243834	-0.034540	-0.110812
ENSMUSG00000019841	0.107035	0.038698	-0.074206	-0.240697	-0.496447	-0.188018
