ENSMUSG00000031701	mmu-miR-501-5p
ENSMUSG00000031701	mmu-miR-542-3p
ENSMUSG00000031701	mmu-miR-188-3p
ENSMUSG00000022604	mmu-miR-669f-3p
ENSMUSG00000022604	mmu-miR-34b-5p
ENSMUSG00000054766	mmu-miR-532-3p
ENSMUSG00000054766	mmu-miR-342-3p
ENSMUSG00000054766	mmu-miR-93-3p
ENSMUSG00000054766	mmu-miR-188-5p
ENSMUSG00000054766	mmu-miR-188-3p
ENSMUSG00000054766	mmu-miR-542-3p
ENSMUSG00000026739	mmu-miR-1187
ENSMUSG00000026737	mmu-miR-342-3p
ENSMUSG00000026737	mmu-miR-188-5p
ENSMUSG00000026737	mmu-miR-362-3p
ENSMUSG00000049307	mmu-miR-188-3p
ENSMUSG00000049307	mmu-miR-362-5p
ENSMUSG00000020290	mmu-miR-532-3p
ENSMUSG00000020290	mmu-miR-188-5p
ENSMUSG00000020290	mmu-miR-151-3p
ENSMUSG00000020290	mmu-miR-22-5p
ENSMUSG00000020290	mmu-miR-188-3p
ENSMUSG00000020290	mmu-miR-500-3p
ENSMUSG00000021619	mmu-miR-363-3p
ENSMUSG00000000838	mmu-miR-429-3p
ENSMUSG00000039158	mmu-miR-34b-5p
ENSMUSG00000039158	mmu-miR-34b-3p
ENSMUSG00000029467	mmu-miR-149-5p
ENSMUSG00000029467	mmu-miR-93-3p
ENSMUSG00000029467	mmu-miR-151-3p
ENSMUSG00000029467	mmu-miR-1198-5p
ENSMUSG00000029467	mmu-miR-542-3p
ENSMUSG00000020108	mmu-miR-34b-5p
ENSMUSG00000036391	mmu-miR-501-5p
ENSMUSG00000036391	mmu-miR-151-3p
ENSMUSG00000036391	mmu-miR-15a-5p
ENSMUSG00000036391	mmu-miR-542-5p
ENSMUSG00000036391	mmu-miR-342-3p
ENSMUSG00000037669	mmu-miR-362-5p
ENSMUSG00000037669	mmu-miR-188-3p
ENSMUSG00000031540	mmu-miR-1187
ENSMUSG00000031540	mmu-miR-466d-5p
ENSMUSG00000031540	mmu-miR-669f-3p
ENSMUSG00000031540	mmu-miR-3091-3p
ENSMUSG00000031540	mmu-miR-467b-5p
ENSMUSG00000031540	mmu-miR-466k
ENSMUSG00000030232	mmu-miR-22-5p
ENSMUSG00000030232	mmu-miR-542-5p
ENSMUSG00000030232	mmu-miR-501-5p
ENSMUSG00000030232	mmu-miR-677-5p
ENSMUSG00000030232	mmu-miR-542-3p
ENSMUSG00000030232	mmu-miR-188-5p
ENSMUSG00000030232	mmu-miR-362-3p
ENSMUSG00000030232	mmu-miR-532-3p
ENSMUSG00000030232	mmu-miR-93-3p
ENSMUSG00000032402	mmu-miR-466d-5p
ENSMUSG00000032402	mmu-miR-3091-3p
ENSMUSG00000032402	mmu-miR-466k
ENSMUSG00000024750	mmu-miR-363-5p
ENSMUSG00000024750	mmu-miR-34b-5p
ENSMUSG00000024750	mmu-miR-466d-5p
ENSMUSG00000024750	mmu-miR-669f-3p
ENSMUSG00000024750	mmu-miR-466k
ENSMUSG00000024750	mmu-miR-1187
ENSMUSG00000024750	mmu-miR-34b-3p
ENSMUSG00000049323	mmu-miR-3091-3p
ENSMUSG00000049323	mmu-miR-466d-5p
ENSMUSG00000049323	mmu-miR-1187
ENSMUSG00000049323	mmu-miR-466k
ENSMUSG00000049323	mmu-miR-34b-5p
ENSMUSG00000030002	mmu-miR-34b-5p
ENSMUSG00000030002	mmu-miR-669f-3p
ENSMUSG00000030002	mmu-miR-3074-1-3p
ENSMUSG00000040697	mmu-miR-1187
ENSMUSG00000090112	mmu-miR-3091-3p
ENSMUSG00000034120	mmu-miR-501-5p
ENSMUSG00000021690	mmu-miR-363-3p
ENSMUSG00000021690	mmu-miR-200b-3p
ENSMUSG00000021690	mmu-miR-466n-3p
ENSMUSG00000038806	mmu-miR-466d-5p
ENSMUSG00000038806	mmu-miR-669f-3p
ENSMUSG00000020128	mmu-miR-674-3p
ENSMUSG00000020128	mmu-miR-669f-3p
ENSMUSG00000039735	mmu-miR-17-3p
ENSMUSG00000039735	mmu-miR-34b-5p
ENSMUSG00000039735	mmu-miR-20a-3p
ENSMUSG00000059486	mmu-miR-320-3p
ENSMUSG00000059486	mmu-miR-669f-3p
ENSMUSG00000059486	mmu-miR-17-3p
ENSMUSG00000002944	mmu-miR-34b-3p
ENSMUSG00000022174	mmu-miR-450b-5p
ENSMUSG00000022174	mmu-miR-532-5p
ENSMUSG00000038020	mmu-miR-466n-3p
ENSMUSG00000038121	mmu-miR-466n-3p
ENSMUSG00000001833	mmu-miR-151-3p
ENSMUSG00000001833	mmu-miR-127-3p
ENSMUSG00000022957	mmu-miR-466d-5p
ENSMUSG00000022957	mmu-miR-669f-3p
ENSMUSG00000022957	mmu-miR-363-5p
ENSMUSG00000022957	mmu-miR-34b-5p
ENSMUSG00000022957	mmu-miR-1187
ENSMUSG00000022957	mmu-miR-34b-3p
ENSMUSG00000022957	mmu-miR-339-3p
ENSMUSG00000022957	mmu-miR-17-3p
ENSMUSG00000026339	mmu-miR-466n-3p
ENSMUSG00000026339	mmu-miR-3091-3p
ENSMUSG00000026339	mmu-miR-466d-5p
ENSMUSG00000026339	mmu-miR-1187
ENSMUSG00000022433	mmu-miR-466k
ENSMUSG00000022433	mmu-miR-466d-5p
ENSMUSG00000022433	mmu-miR-320-3p
ENSMUSG00000022433	mmu-miR-3074-1-3p
ENSMUSG00000059474	mmu-miR-466n-3p
ENSMUSG00000059474	mmu-miR-339-3p
ENSMUSG00000025912	mmu-miR-501-5p
ENSMUSG00000039087	mmu-miR-363-5p
